wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
6.14	1.311	0.036	0.009	0.004
6.16	1.311	0.035	0.009	0.003
6.18	1.309	0.035	0.009	0.003
6.20	1.308	0.034	0.008	0.003
6.22	1.305	0.034	0.008	0.003
6.24	1.303	0.033	0.008	0.003
6.26	1.299	0.034	0.008	0.003
6.28	1.295	0.035	0.008	0.003
6.30	1.291	0.036	0.008	0.003
6.32	1.288	0.037	0.008	0.003
6.34	1.283	0.039	0.009	0.004
6.36	1.279	0.041	0.009	0.004
6.38	1.276	0.044	0.010	0.005
6.40	1.272	0.044	0.010	0.007
6.42	1.264	0.047	0.010	0.008
6.44	1.258	0.051	0.010	0.008
6.46	1.250	0.056	0.011	0.009
6.48	1.244	0.063	0.011	0.010
6.50	1.237	0.071	0.012	0.010
6.52	1.233	0.083	0.013	0.011
6.54	1.232	0.094	0.013	0.011
6.56	1.231	0.102	0.013	0.011
6.58	1.228	0.111	0.014	0.011
6.60	1.224	0.121	0.016	0.011
6.62	1.222	0.136	0.017	0.011
6.64	1.225	0.150	0.016	0.011
6.66	1.228	0.164	0.017	0.011
6.68	1.234	0.179	0.017	0.012
6.70	1.243	0.192	0.017	0.012
6.72	1.254	0.202	0.016	0.012
6.74	1.262	0.210	0.016	0.012
6.76	1.271	0.221	0.015	0.013
6.78	1.285	0.232	0.014	0.014
6.80	1.301	0.239	0.013	0.015
6.82	1.318	0.240	0.012	0.015
6.84	1.328	0.240	0.011	0.015
6.86	1.340	0.244	0.010	0.015
6.88	1.356	0.243	0.010	0.016
6.90	1.366	0.241	0.009	0.016
6.92	1.378	0.239	0.008	0.016
6.94	1.388	0.237	0.007	0.015
6.96	1.403	0.236	0.007	0.015
6.98	1.416	0.229	0.007	0.014
7.00	1.428	0.220	0.006	0.013
7.02	1.436	0.211	0.005	0.012
7.04	1.443	0.202	0.005	0.011
7.06	1.449	0.194	0.004	0.010
7.08	1.455	0.185	0.005	0.010
7.10	1.459	0.175	0.005	0.009
7.12	1.463	0.166	0.005	0.008
7.14	1.465	0.156	0.005	0.008
7.16	1.466	0.147	0.005	0.007
7.18	1.466	0.139	0.004	0.007
7.20	1.465	0.132	0.005	0.006
7.22	1.464	0.125	0.004	0.006
7.24	1.464	0.120	0.005	0.005
7.26	1.464	0.113	0.005	0.005
7.28	1.463	0.105	0.005	0.005
7.30	1.460	0.099	0.005	0.005
7.32	1.458	0.092	0.005	0.004
7.34	1.453	0.088	0.005	0.004
7.36	1.450	0.085	0.005	0.004
7.38	1.448	0.081	0.005	0.004
7.40	1.446	0.078	0.005	0.004
7.42	1.443	0.074	0.005	0.004
7.44	1.441	0.070	0.005	0.003
7.46	1.437	0.066	0.005	0.003
7.48	1.434	0.064	0.005	0.003
7.50	1.431	0.062	0.005	0.003
7.52	1.428	0.061	0.005	0.003
7.54	1.427	0.059	0.005	0.003
7.56	1.426	0.057	0.005	0.003
7.58	1.424	0.053	0.005	0.003
7.60	1.420	0.050	0.005	0.003
7.62	1.416	0.048	0.005	0.003
7.64	1.414	0.046	0.005	0.003
7.66	1.411	0.045	0.005	0.003
7.68	1.409	0.043	0.005	0.002
7.70	1.406	0.040	0.005	0.002
7.72	1.403	0.038	0.005	0.002
7.74	1.398	0.036	0.005	0.002
7.76	1.394	0.035	0.005	0.002
7.78	1.391	0.034	0.006	0.002
7.80	1.387	0.032	0.006	0.002
7.82	1.383	0.032	0.006	0.002
7.84	1.380	0.032	0.006	0.002
7.86	1.376	0.031	0.007	0.002
7.88	1.372	0.031	0.007	0.002
7.90	1.368	0.030	0.007	0.002
7.92	1.364	0.031	0.007	0.002
7.94	1.361	0.031	0.008	0.002
7.96	1.357	0.031	0.008	0.002
7.98	1.353	0.031	0.008	0.002
8.00	1.350	0.032	0.008	0.002
8.02	1.346	0.032	0.008	0.002
8.04	1.342	0.033	0.008	0.002
8.06	1.338	0.033	0.009	0.002
8.08	1.334	0.034	0.009	0.002
8.10	1.330	0.035	0.009	0.002
8.12	1.326	0.036	0.009	0.002
8.14	1.322	0.038	0.009	0.002
8.16	1.319	0.039	0.010	0.002
8.18	1.314	0.040	0.010	0.003
8.20	1.309	0.042	0.010	0.003
8.22	1.305	0.044	0.010	0.003
8.24	1.300	0.047	0.011	0.003
8.26	1.296	0.050	0.011	0.003
8.28	1.292	0.053	0.011	0.004
8.30	1.288	0.057	0.011	0.004
8.32	1.284	0.061	0.011	0.004
8.34	1.280	0.065	0.012	0.004
8.36	1.277	0.070	0.012	0.004
8.38	1.274	0.074	0.012	0.005
8.40	1.271	0.079	0.012	0.005
8.42	1.268	0.085	0.012	0.005
8.44	1.266	0.089	0.012	0.006
8.46	1.264	0.095	0.012	0.006
8.48	1.262	0.100	0.012	0.006
8.50	1.261	0.106	0.012	0.007
8.52	1.261	0.111	0.012	0.007
8.54	1.261	0.117	0.012	0.007
8.56	1.261	0.122	0.012	0.008
8.58	1.262	0.126	0.012	0.008
8.60	1.262	0.129	0.011	0.008
8.62	1.262	0.133	0.011	0.008
8.64	1.262	0.136	0.011	0.008
8.66	1.261	0.140	0.011	0.008
8.68	1.261	0.143	0.011	0.009
8.70	1.259	0.146	0.011	0.009
8.72	1.258	0.150	0.011	0.009
8.74	1.256	0.154	0.011	0.009
8.76	1.254	0.160	0.011	0.009
8.78	1.253	0.165	0.011	0.010
8.80	1.252	0.171	0.011	0.010
8.82	1.251	0.178	0.011	0.010
8.84	1.252	0.186	0.010	0.010
8.86	1.253	0.193	0.010	0.011
8.88	1.255	0.201	0.010	0.011
8.90	1.258	0.207	0.010	0.011
8.92	1.261	0.213	0.010	0.011
8.94	1.266	0.219	0.009	0.011
8.96	1.269	0.223	0.009	0.011
8.98	1.273	0.227	0.009	0.011
9.00	1.277	0.230	0.009	0.011
