wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
6.14	1.329	0.010	0.014	0.008
6.16	1.324	0.012	0.014	0.006
6.18	1.319	0.015	0.015	0.005
6.20	1.316	0.018	0.017	0.004
6.22	1.311	0.020	0.018	0.004
6.24	1.306	0.025	0.020	0.003
6.26	1.304	0.028	0.021	0.003
6.28	1.300	0.030	0.023	0.003
6.30	1.294	0.032	0.026	0.004
6.32	1.287	0.036	0.028	0.007
6.34	1.280	0.039	0.028	0.007
6.36	1.268	0.044	0.030	0.008
6.38	1.256	0.058	0.032	0.011
6.40	1.252	0.073	0.033	0.014
6.42	1.249	0.086	0.033	0.016
6.44	1.247	0.098	0.033	0.018
6.46	1.242	0.113	0.034	0.021
6.48	1.245	0.134	0.033	0.025
6.50	1.251	0.148	0.032	0.027
6.52	1.260	0.164	0.030	0.030
6.54	1.269	0.168	0.028	0.030
6.56	1.268	0.183	0.028	0.033
6.58	1.284	0.197	0.024	0.035
6.60	1.291	0.201	0.023	0.035
6.62	1.299	0.212	0.021	0.036
6.64	1.307	0.218	0.020	0.037
6.66	1.314	0.231	0.018	0.038
6.68	1.329	0.241	0.016	0.039
6.70	1.344	0.245	0.014	0.039
6.72	1.354	0.249	0.012	0.039
6.74	1.367	0.253	0.011	0.040
6.76	1.375	0.257	0.009	0.040
6.78	1.389	0.266	0.007	0.041
6.80	1.406	0.270	0.005	0.041
6.82	1.428	0.270	0.003	0.041
6.84	1.437	0.258	0.002	0.038
6.86	1.442	0.271	0.002	0.040
6.88	1.473	0.271	0.006	0.040
6.90	1.488	0.256	0.008	0.037
6.92	1.497	0.248	0.009	0.036
6.94	1.507	0.248	0.010	0.036
6.96	1.533	0.242	0.014	0.034
6.98	1.547	0.215	0.016	0.029
7.00	1.545	0.200	0.015	0.027
7.02	1.547	0.190	0.014	0.025
7.04	1.547	0.185	0.014	0.025
7.06	1.557	0.182	0.015	0.025
7.08	1.567	0.169	0.017	0.023
7.10	1.571	0.155	0.017	0.020
7.12	1.575	0.142	0.017	0.018
7.14	1.575	0.128	0.017	0.016
7.16	1.574	0.115	0.016	0.014
7.18	1.569	0.104	0.016	0.013
7.20	1.565	0.097	0.015	0.012
7.22	1.562	0.090	0.014	0.011
7.24	1.561	0.085	0.014	0.010
7.26	1.562	0.076	0.014	0.009
7.28	1.557	0.065	0.013	0.008
7.30	1.551	0.059	0.012	0.007
7.32	1.546	0.053	0.011	0.006
7.34	1.539	0.049	0.010	0.006
7.36	1.535	0.048	0.009	0.006
7.38	1.534	0.046	0.009	0.005
7.40	1.531	0.040	0.009	0.005
7.42	1.525	0.037	0.008	0.004
7.44	1.523	0.035	0.008	0.004
7.46	1.519	0.031	0.007	0.003
7.48	1.515	0.030	0.006	0.003
7.50	1.511	0.029	0.006	0.003
7.52	1.510	0.028	0.006	0.003
7.54	1.507	0.026	0.005	0.003
7.56	1.506	0.025	0.005	0.003
7.58	1.503	0.021	0.005	0.002
7.60	1.500	0.020	0.004	0.002
7.62	1.497	0.018	0.003	0.002
7.64	1.493	0.017	0.003	0.002
7.66	1.491	0.017	0.003	0.002
7.68	1.490	0.016	0.003	0.002
7.70	1.489	0.013	0.002	0.001
7.72	1.485	0.011	0.002	0.001
7.74	1.482	0.010	0.002	0.001
7.76	1.478	0.010	0.001	0.001
7.78	1.476	0.010	0.001	0.001
7.80	1.474	0.009	0.001	0.001
7.82	1.471	0.009	0.001	0.001
7.84	1.470	0.009	0.001	0.001
7.86	1.468	0.008	0.001	0.001
7.88	1.465	0.008	0.001	0.001
7.90	1.464	0.007	0.001	0.001
7.92	1.461	0.006	0.002	0.001
7.94	1.459	0.006	0.002	0.001
7.96	1.457	0.006	0.002	0.001
7.98	1.455	0.006	0.003	0.001
8.00	1.453	0.005	0.003	0.001
8.02	1.451	0.004	0.003	0.001
8.04	1.448	0.004	0.003	0.001
8.06	1.446	0.004	0.004	0.001
8.08	1.443	0.004	0.004	0.001
8.10	1.441	0.004	0.004	0.001
8.12	1.438	0.004	0.005	0.001
8.14	1.436	0.004	0.005	0.001
8.16	1.433	0.004	0.006	0.001
8.18	1.430	0.005	0.006	0.001
8.20	1.427	0.006	0.006	0.001
8.22	1.425	0.006	0.006	0.001
8.24	1.421	0.007	0.007	0.001
8.26	1.419	0.009	0.007	0.001
8.28	1.416	0.010	0.007	0.001
8.30	1.413	0.012	0.008	0.002
8.32	1.411	0.014	0.008	0.002
8.34	1.408	0.016	0.009	0.002
8.36	1.406	0.019	0.009	0.002
8.38	1.405	0.021	0.009	0.002
8.40	1.402	0.023	0.009	0.003
8.42	1.400	0.026	0.010	0.003
8.44	1.398	0.029	0.010	0.003
8.46	1.396	0.032	0.010	0.004
8.48	1.394	0.036	0.010	0.004
8.50	1.394	0.040	0.010	0.004
8.52	1.392	0.044	0.010	0.005
8.54	1.393	0.050	0.011	0.006
8.56	1.395	0.054	0.010	0.006
8.58	1.397	0.058	0.010	0.007
8.60	1.399	0.060	0.010	0.007
8.62	1.402	0.064	0.010	0.007
8.64	1.405	0.065	0.009	0.007
8.66	1.407	0.067	0.009	0.008
8.68	1.410	0.068	0.008	0.008
8.70	1.413	0.069	0.008	0.008
8.72	1.416	0.069	0.008	0.008
8.74	1.418	0.068	0.008	0.008
8.76	1.419	0.068	0.007	0.008
8.78	1.422	0.067	0.007	0.007
8.80	1.422	0.066	0.007	0.007
8.82	1.424	0.065	0.007	0.007
8.84	1.423	0.064	0.007	0.007
8.86	1.425	0.064	0.007	0.007
8.88	1.425	0.062	0.007	0.007
8.90	1.424	0.062	0.007	0.007
8.92	1.425	0.061	0.007	0.007
8.94	1.425	0.060	0.007	0.006
8.96	1.424	0.059	0.007	0.006
8.98	1.423	0.058	0.007	0.006
9.00	1.422	0.058	0.007	0.006
9.02	1.422	0.058	0.008	0.006
9.04	1.420	0.056	0.008	0.006
9.06	1.418	0.057	0.008	0.006
9.08	1.417	0.057	0.008	0.006
9.10	1.414	0.058	0.008	0.006
9.12	1.414	0.059	0.009	0.006
9.14	1.412	0.060	0.009	0.006
9.16	1.411	0.060	0.009	0.006
9.18	1.409	0.061	0.009	0.007
9.20	1.408	0.063	0.009	0.007
9.22	1.407	0.063	0.010	0.007
9.24	1.403	0.065	0.010	0.007
9.26	1.402	0.068	0.010	0.007
9.28	1.400	0.070	0.010	0.008
9.30	1.399	0.074	0.011	0.008
9.32	1.398	0.076	0.011	0.008
9.34	1.397	0.080	0.011	0.009
9.36	1.396	0.083	0.011	0.009
