wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
3.00	1.490	0.006	0.003	0.002
3.02	1.479	0.006	0.026	0.002
3.04	1.479	0.006	0.002	0.002
3.06	1.475	0.006	0.009	0.002
3.08	1.475	0.006	0.001	0.002
3.10	1.473	0.006	0.005	0.002
3.12	1.473	0.006	0.001	0.002
3.14	1.471	0.006	0.005	0.002
3.16	1.471	0.006	0.001	0.002
3.18	1.469	0.006	0.004	0.004
3.20	1.469	0.006	0.001	0.003
3.22	1.468	0.006	0.003	0.004
3.24	1.468	0.006	0.001	0.003
3.26	1.467	0.006	0.003	0.002
3.28	1.467	0.006	0.011	0.003
3.30	1.466	0.006	0.002	0.002
3.32	1.466	0.006	0.011	0.002
3.34	1.465	0.006	0.001	0.002
3.36	1.465	0.006	0.001	0.002
3.38	1.464	0.006	0.001	0.002
3.40	1.464	0.006	0.001	0.002
3.42	1.463	0.006	0.011	0.001
3.44	1.463	0.006	0.002	0.002
3.46	1.462	0.006	0.001	0.001
3.48	1.462	0.006	0.002	0.002
3.50	1.461	0.006	0.011	0.001
3.52	1.461	0.006	0.003	0.001
3.54	1.461	0.006	0.001	0.001
3.56	1.461	0.006	0.002	0.001
3.58	1.460	0.006	0.001	0.001
3.60	1.460	0.006	0.002	0.001
3.62	1.459	0.006	0.001	0.001
3.64	1.459	0.006	0.003	0.001
3.66	1.459	0.006	0.002	0.001
3.68	1.459	0.006	0.003	0.001
3.70	1.458	0.006	0.002	0.001
3.72	1.458	0.006	0.003	0.001
3.74	1.457	0.006	0.003	0.001
3.76	1.457	0.006	0.003	0.001
3.78	1.457	0.006	0.002	0.001
3.80	1.457	0.006	0.003	0.001
3.82	1.456	0.006	0.003	0.001
3.84	1.456	0.006	0.003	0.001
3.86	1.456	0.006	0.003	0.001
3.88	1.456	0.006	0.004	0.001
3.90	1.455	0.006	0.003	0.001
3.92	1.455	0.006	0.004	0.001
3.94	1.455	0.006	0.003	0.001
3.96	1.455	0.006	0.003	0.001
3.98	1.454	0.006	0.003	0.001
4.00	1.454	0.006	0.004	0.001
4.02	1.453	0.006	0.003	0.001
4.04	1.453	0.006	0.004	0.001
4.06	1.453	0.006	0.003	0.001
4.08	1.453	0.006	0.004	0.001
4.10	1.452	0.006	0.004	0.001
4.12	1.452	0.006	0.005	0.001
4.14	1.452	0.006	0.003	0.001
4.16	1.452	0.006	0.004	0.001
4.18	1.451	0.006	0.004	0.001
4.20	1.451	0.006	0.005	0.001
4.22	1.451	0.006	0.004	0.001
4.24	1.451	0.006	0.004	0.001
4.26	1.450	0.006	0.004	0.001
4.28	1.450	0.006	0.004	0.001
4.30	1.450	0.006	0.004	0.001
4.32	1.450	0.006	0.004	0.001
4.34	1.449	0.006	0.004	0.001
4.36	1.449	0.006	0.005	0.001
4.38	1.449	0.006	0.004	0.001
4.40	1.449	0.006	0.005	0.001
4.42	1.449	0.006	0.004	0.001
4.44	1.449	0.006	0.005	0.001
4.46	1.448	0.006	0.005	0.001
4.48	1.448	0.006	0.005	0.001
4.50	1.448	0.006	0.005	0.001
4.52	1.448	0.006	0.006	0.001
4.54	1.447	0.006	0.005	0.001
4.56	1.447	0.006	0.006	0.001
4.58	1.447	0.006	0.005	0.001
4.60	1.447	0.006	0.006	0.001
4.62	1.446	0.006	0.005	0.001
4.64	1.446	0.006	0.006	0.001
4.66	1.446	0.006	0.005	0.001
4.68	1.446	0.006	0.006	0.001
4.70	1.445	0.006	0.005	0.001
4.72	1.445	0.006	0.006	0.001
4.74	1.445	0.006	0.005	0.001
4.76	1.445	0.006	0.006	0.001
4.78	1.444	0.006	0.006	0.001
