wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
6.14	1.387	0.004	0.006	0.027
6.16	1.387	0.004	0.005	0.020
6.18	1.386	0.004	0.009	0.016
6.20	1.386	0.004	0.012	0.014
6.22	1.385	0.004	0.015	0.012
6.24	1.384	0.004	0.020	0.010
6.26	1.384	0.004	0.025	0.012
6.28	1.383	0.004	0.028	0.012
6.30	1.382	0.004	0.035	0.015
6.32	1.382	0.004	0.037	0.023
6.34	1.381	0.004	0.036	0.024
6.36	1.380	0.004	0.041	0.028
6.38	1.380	0.004	0.043	0.036
6.40	1.379	0.004	0.040	0.046
6.42	1.378	0.004	0.032	0.052
6.44	1.377	0.004	0.026	0.053
6.46	1.377	0.004	0.022	0.054
6.48	1.376	0.004	0.019	0.054
6.50	1.375	0.004	0.015	0.055
6.52	1.375	0.004	0.012	0.055
6.54	1.374	0.004	0.009	0.055
6.56	1.373	0.004	0.005	0.055
6.58	1.372	0.004	0.003	0.054
6.60	1.371	0.004	0.003	0.054
6.62	1.371	0.004	0.006	0.054
6.64	1.370	0.004	0.010	0.053
6.66	1.369	0.004	0.015	0.051
6.68	1.368	0.004	0.021	0.047
6.70	1.367	0.004	0.024	0.039
6.72	1.367	0.004	0.024	0.033
6.74	1.366	0.004	0.023	0.027
6.76	1.365	0.004	0.019	0.023
6.78	1.364	0.004	0.016	0.024
6.80	1.363	0.004	0.016	0.023
6.82	1.362	0.004	0.018	0.021
6.84	1.361	0.004	0.015	0.016
6.86	1.360	0.004	0.012	0.017
6.88	1.359	0.004	0.012	0.017
6.90	1.359	0.004	0.011	0.015
6.92	1.358	0.004	0.010	0.014
6.94	1.357	0.004	0.009	0.015
6.96	1.356	0.004	0.010	0.015
6.98	1.355	0.004	0.009	0.012
7.00	1.354	0.004	0.007	0.011
7.02	1.353	0.004	0.006	0.011
7.04	1.351	0.004	0.004	0.011
7.06	1.350	0.004	0.004	0.014
7.08	1.349	0.004	0.006	0.014
7.10	1.348	0.004	0.006	0.013
7.12	1.347	0.004	0.006	0.012
7.14	1.346	0.004	0.006	0.011
7.16	1.345	0.004	0.005	0.011
7.18	1.343	0.004	0.004	0.010
7.20	1.342	0.004	0.004	0.010
7.22	1.341	0.004	0.004	0.011
7.24	1.340	0.004	0.004	0.011
7.26	1.338	0.004	0.005	0.010
7.28	1.337	0.004	0.005	0.008
7.30	1.336	0.004	0.004	0.008
7.32	1.334	0.004	0.004	0.007
7.34	1.333	0.004	0.002	0.007
7.36	1.331	0.004	0.003	0.008
7.38	1.330	0.004	0.003	0.008
7.40	1.328	0.004	0.003	0.007
7.42	1.327	0.004	0.003	0.006
7.44	1.325	0.004	0.003	0.006
7.46	1.323	0.004	0.003	0.005
7.48	1.322	0.004	0.003	0.005
7.50	1.320	0.004	0.002	0.006
7.52	1.318	0.004	0.002	0.006
7.54	1.316	0.004	0.002	0.006
7.56	1.314	0.004	0.003	0.005
7.58	1.312	0.004	0.003	0.004
7.60	1.310	0.004	0.003	0.003
7.62	1.308	0.004	0.003	0.003
7.64	1.305	0.004	0.004	0.003
7.66	1.303	0.005	0.003	0.003
7.68	1.301	0.005	0.003	0.002
7.70	1.298	0.005	0.004	0.002
7.72	1.295	0.006	0.004	0.002
7.74	1.294	0.006	0.004	0.001
7.76	1.290	0.006	0.005	0.001
7.78	1.288	0.007	0.005	0.001
7.80	1.285	0.007	0.006	0.001
7.82	1.282	0.008	0.006	0.001
7.84	1.278	0.008	0.006	0.001
7.86	1.275	0.010	0.007	0.001
7.88	1.273	0.010	0.007	0.001
7.90	1.269	0.011	0.008	0.001
7.92	1.266	0.011	0.008	0.001
7.94	1.261	0.012	0.009	0.001
7.96	1.257	0.013	0.009	0.001
7.98	1.251	0.015	0.009	0.001
8.00	1.248	0.018	0.009	0.001
8.02	1.241	0.020	0.010	0.001
8.04	1.238	0.028	0.010	0.001
8.06	1.238	0.030	0.010	0.001
8.08	1.233	0.033	0.011	0.001
8.10	1.233	0.036	0.011	0.001
8.12	1.229	0.037	0.012	0.001
8.14	1.226	0.041	0.012	0.001
8.16	1.224	0.043	0.012	0.001
8.18	1.220	0.045	0.013	0.001
8.20	1.216	0.048	0.014	0.001
8.22	1.212	0.052	0.013	0.001
8.24	1.210	0.055	0.014	0.001
8.26	1.205	0.057	0.014	0.001
8.28	1.201	0.061	0.014	0.001
8.30	1.196	0.066	0.015	0.001
8.32	1.193	0.072	0.015	0.001
8.34	1.190	0.076	0.016	0.001
8.36	1.187	0.079	0.016	0.002
8.38	1.180	0.084	0.016	0.002
8.40	1.176	0.093	0.016	0.002
8.42	1.173	0.101	0.016	0.002
8.44	1.173	0.108	0.017	0.002
8.46	1.171	0.113	0.017	0.002
8.48	1.170	0.120	0.018	0.002
8.50	1.167	0.124	0.018	0.002
8.52	1.164	0.135	0.018	0.002
8.54	1.166	0.142	0.019	0.003
8.56	1.164	0.148	0.019	0.003
8.58	1.162	0.157	0.019	0.004
8.60	1.165	0.167	0.019	0.004
8.62	1.167	0.171	0.019	0.004
8.64	1.167	0.180	0.019	0.004
8.66	1.170	0.185	0.020	0.005
8.68	1.172	0.194	0.019	0.005
8.70	1.179	0.196	0.020	0.006
8.72	1.177	0.200	0.019	0.006
8.74	1.180	0.204	0.020	0.006
8.76	1.179	0.207	0.020	0.006
8.78	1.181	0.212	0.020	0.006
8.80	1.179	0.215	0.020	0.006
8.82	1.179	0.221	0.021	0.006
8.84	1.178	0.226	0.021	0.007
8.86	1.177	0.233	0.021	0.006
8.88	1.177	0.240	0.021	0.007
8.90	1.179	0.246	0.021	0.007
8.92	1.178	0.249	0.021	0.007
8.94	1.175	0.258	0.022	0.007
8.96	1.176	0.268	0.023	0.008
8.98	1.178	0.276	0.022	0.009
9.00	1.179	0.286	0.022	0.009
9.02	1.184	0.293	0.023	0.009
9.04	1.186	0.300	0.023	0.009
9.06	1.189	0.308	0.023	0.010
9.08	1.192	0.314	0.022	0.010
9.10	1.194	0.321	0.023	0.010
9.12	1.197	0.328	0.023	0.010
9.14	1.199	0.334	0.023	0.011
9.16	1.200	0.344	0.023	0.012
9.18	1.205	0.353	0.023	0.012
9.20	1.207	0.359	0.024	0.012
9.22	1.208	0.368	0.024	0.013
9.24	1.208	0.378	0.024	0.013
9.26	1.212	0.391	0.025	0.014
9.28	1.215	0.403	0.025	0.015
9.30	1.222	0.418	0.025	0.016
9.32	1.230	0.429	0.024	0.018
9.34	1.236	0.442	0.024	0.018
9.36	1.245	0.456	0.024	0.019
9.38	1.256	0.471	0.023	0.021
9.40	1.270	0.484	0.022	0.021
9.42	1.284	0.497	0.021	0.022
9.44	1.301	0.508	0.020	0.022
9.46	1.320	0.519	0.019	0.023
9.48	1.338	0.525	0.018	0.023
9.50	1.356	0.534	0.017	0.023
9.52	1.379	0.539	0.016	0.023
9.54	1.399	0.542	0.015	0.023
9.56	1.422	0.545	0.015	0.023
9.58	1.444	0.545	0.014	0.023
9.60	1.468	0.542	0.012	0.023
9.62	1.491	0.535	0.012	0.023
9.64	1.512	0.525	0.011	0.023
9.66	1.530	0.516	0.010	0.022
9.68	1.548	0.503	0.010	0.021
9.70	1.564	0.490	0.009	0.020
9.72	1.578	0.475	0.009	0.019
9.74	1.588	0.461	0.009	0.018
9.76	1.600	0.442	0.008	0.017
9.78	1.601	0.426	0.008	0.016
9.80	1.606	0.412	0.009	0.015
9.82	1.605	0.398	0.010	0.014
9.84	1.605	0.389	0.010	0.014
9.86	1.603	0.378	0.010	0.013
9.88	1.600	0.371	0.011	0.012
9.90	1.595	0.367	0.011	0.012
9.92	1.594	0.367	0.012	0.012
9.94	1.592	0.367	0.013	0.011
9.96	1.595	0.371	0.013	0.012
9.98	1.598	0.371	0.013	0.012
10.00	1.604	0.377	0.013	0.012
10.02	1.615	0.378	0.013	0.012
10.04	1.624	0.379	0.012	0.012
10.06	1.636	0.378	0.012	0.012
10.08	1.650	0.377	0.012	0.012
10.10	1.665	0.371	0.012	0.011
10.12	1.679	0.364	0.011	0.011
10.14	1.694	0.352	0.011	0.011
10.16	1.705	0.338	0.010	0.010
10.18	1.714	0.324	0.010	0.009
10.20	1.721	0.308	0.010	0.009
10.22	1.726	0.292	0.010	0.008
10.24	1.729	0.276	0.010	0.007
10.26	1.727	0.262	0.010	0.006
10.28	1.728	0.250	0.010	0.005
10.30	1.725	0.236	0.011	0.005
10.32	1.721	0.229	0.011	0.004
10.34	1.721	0.219	0.011	0.003
10.36	1.716	0.213	0.013	0.003
10.38	1.719	0.208	0.013	0.003
10.40	1.721	0.200	0.014	0.003
10.42	1.723	0.190	0.014	0.003
10.44	1.723	0.180	0.014	0.003
10.46	1.723	0.170	0.015	0.003
10.48	1.721	0.160	0.015	0.003
10.50	1.721	0.150	0.016	0.003
10.52	1.718	0.140	0.017	0.004
10.54	1.716	0.130	0.017	0.004
10.56	1.711	0.120	0.017	0.004
10.58	1.709	0.113	0.017	0.004
10.60	1.707	0.100	0.017	0.004
10.62	1.699	0.090	0.018	0.004
10.64	1.693	0.080	0.019	0.004
10.66	1.682	0.070	0.019	0.005
10.68	1.672	0.065	0.019	0.005
10.70	1.661	0.060	0.019	0.005
10.72	1.651	0.060	0.019	0.005
10.74	1.644	0.059	0.020	0.005
10.76	1.638	0.060	0.020	0.005
10.78	1.633	0.057	0.020	0.006
10.80	1.626	0.060	0.019	0.006
10.82	1.626	0.058	0.020	0.006
10.84	1.617	0.055	0.020	0.006
10.86	1.614	0.059	0.020	0.006
10.88	1.613	0.058	0.019	0.007
10.90	1.610	0.056	0.019	0.006
10.92	1.605	0.054	0.020	0.006
10.94	1.601	0.055	0.020	0.006
10.96	1.598	0.055	0.020	0.006
10.98	1.595	0.056	0.020	0.006
11.00	1.595	0.057	0.020	0.006
11.02	1.593	0.056	0.021	0.006
11.04	1.594	0.055	0.021	0.006
11.06	1.591	0.050	0.021	0.007
11.08	1.586	0.050	0.021	0.007
11.10	1.584	0.050	0.021	0.007
11.12	1.583	0.051	0.022	0.007
11.14	1.581	0.047	0.022	0.008
11.16	1.577	0.049	0.022	0.007
11.18	1.579	0.046	0.022	0.008
11.20	1.571	0.044	0.022	0.008
11.22	1.571	0.047	0.022	0.008
11.24	1.569	0.045	0.022	0.008
11.26	1.567	0.044	0.022	0.008
11.28	1.562	0.043	0.022	0.009
11.30	1.560	0.047	0.022	0.009
11.32	1.561	0.046	0.023	0.009
11.34	1.558	0.046	0.022	0.010
11.36	1.556	0.046	0.022	0.010
11.38	1.553	0.048	0.022	0.010
11.40	1.554	0.051	0.022	0.009
11.42	1.556	0.051	0.022	0.009
11.44	1.557	0.050	0.022	0.009
11.46	1.557	0.047	0.023	0.010
11.48	1.555	0.046	0.022	0.010
11.50	1.554	0.045	0.022	0.010
11.52	1.553	0.044	0.022	0.010
11.54	1.551	0.043	0.022	0.010
11.56	1.551	0.044	0.022	0.010
11.58	1.552	0.043	0.022	0.010
11.60	1.551	0.040	0.022	0.010
11.62	1.547	0.038	0.022	0.010
11.64	1.546	0.041	0.022	0.010
11.66	1.547	0.039	0.022	0.011
11.68	1.546	0.037	0.022	0.011
11.70	1.543	0.035	0.022	0.011
11.72	1.540	0.038	0.022	0.010
11.74	1.543	0.036	0.023	0.011
11.76	1.538	0.034	0.022	0.011
11.78	1.539	0.037	0.022	0.010
11.80	1.540	0.035	0.023	0.011
11.82	1.539	0.033	0.023	0.011
11.84	1.538	0.031	0.023	0.011
11.86	1.536	0.029	0.023	0.011
11.88	1.532	0.027	0.023	0.011
11.90	1.529	0.030	0.023	0.011
11.92	1.531	0.028	0.023	0.011
11.94	1.525	0.026	0.023	0.011
11.96	1.524	0.030	0.023	0.011
11.98	1.525	0.029	0.024	0.012
12.00	1.523	0.028	0.023	0.012
12.02	1.520	0.027	0.024	0.012
12.04	1.518	0.031	0.024	0.012
12.06	1.520	0.030	0.024	0.012
12.08	1.518	0.029	0.024	0.013
12.10	1.515	0.028	0.024	0.013
12.12	1.514	0.032	0.024	0.012
12.14	1.516	0.031	0.024	0.013
12.16	1.514	0.030	0.024	0.013
12.18	1.512	0.029	0.024	0.014
12.20	1.510	0.033	0.023	0.013
12.22	1.514	0.032	0.024	0.013
12.24	1.511	0.031	0.024	0.014
12.26	1.512	0.030	0.024	0.014
12.28	1.507	0.029	0.024	0.014
12.30	1.507	0.033	0.024	0.014
12.32	1.508	0.032	0.023	0.014
12.34	1.507	0.032	0.024	0.014
12.36	1.506	0.032	0.023	0.015
12.38	1.506	0.032	0.023	0.015
12.40	1.504	0.032	0.023	0.015
12.42	1.504	0.032	0.023	0.015
12.44	1.500	0.032	0.022	0.015
12.46	1.501	0.037	0.022	0.015
12.48	1.503	0.037	0.022	0.015
12.50	1.504	0.037	0.023	0.015
12.52	1.504	0.037	0.023	0.015
12.54	1.507	0.037	0.023	0.015
12.56	1.507	0.032	0.023	0.015
12.58	1.504	0.032	0.022	0.015
12.60	1.504	0.032	0.022	0.015
12.62	1.502	0.032	0.022	0.015
12.64	1.502	0.032	0.022	0.015
12.66	1.501	0.032	0.022	0.015
12.68	1.501	0.032	0.022	0.015
12.70	1.500	0.032	0.022	0.014
12.72	1.500	0.032	0.022	0.014
12.74	1.500	0.032	0.022	0.014
12.76	1.499	0.032	0.022	0.014
12.78	1.499	0.032	0.023	0.014
12.80	1.498	0.032	0.022	0.015
12.82	1.498	0.032	0.022	0.014
12.84	1.498	0.032	0.023	0.014
12.86	1.498	0.032	0.023	0.014
12.88	1.498	0.032	0.023	0.014
12.90	1.498	0.032	0.023	0.014
12.92	1.498	0.032	0.023	0.014
12.94	1.501	0.032	0.024	0.015
12.96	1.500	0.027	0.023	0.015
12.98	1.497	0.027	0.023	0.015
13.00	1.496	0.027	0.023	0.015
13.02	1.495	0.027	0.023	0.015
13.04	1.494	0.027	0.023	0.015
13.06	1.493	0.027	0.023	0.015
13.08	1.493	0.027	0.023	0.015
13.10	1.492	0.027	0.023	0.015
13.12	1.492	0.027	0.023	0.015
13.14	1.491	0.027	0.023	0.015
13.16	1.491	0.027	0.023	0.014
13.18	1.490	0.027	0.023	0.014
13.20	1.490	0.027	0.024	0.014
13.22	1.489	0.027	0.024	0.014
13.24	1.489	0.027	0.024	0.014
13.26	1.489	0.027	0.024	0.014
13.28	1.488	0.027	0.024	0.014
13.30	1.488	0.027	0.025	0.015
13.32	1.488	0.027	0.025	0.015
13.34	1.487	0.027	0.025	0.015
13.36	1.487	0.027	0.025	0.015
13.38	1.487	0.027	0.025	0.015
13.40	1.487	0.027	0.025	0.015
13.42	1.486	0.027	0.025	0.015
13.44	1.487	0.027	0.025	0.015
13.46	1.487	0.027	0.026	0.015
13.48	1.488	0.027	0.026	0.015
13.50	1.489	0.024	0.026	0.015
13.52	1.487	0.022	0.026	0.016
13.54	1.485	0.022	0.026	0.016
13.56	1.484	0.022	0.026	0.016
13.58	1.483	0.022	0.027	0.016
13.60	1.482	0.022	0.027	0.016
13.62	1.481	0.022	0.027	0.016
13.64	1.481	0.022	0.027	0.016
13.66	1.480	0.022	0.028	0.016
13.68	1.479	0.022	0.029	0.016
13.70	1.478	0.022	0.028	0.016
13.72	1.478	0.022	0.029	0.016
13.74	1.477	0.022	0.030	0.017
13.76	1.476	0.022	0.030	0.017
13.78	1.473	0.022	0.030	0.018
13.80	1.473	0.027	0.030	0.018
13.82	1.476	0.027	0.031	0.019
13.84	1.478	0.027	0.030	0.019
13.86	1.478	0.022	0.030	0.020
13.88	1.472	0.022	0.029	0.020
13.90	1.472	0.027	0.030	0.020
13.92	1.474	0.027	0.030	0.020
13.94	1.474	0.027	0.030	0.020
13.96	1.474	0.027	0.030	0.020
13.98	1.475	0.027	0.030	0.019
14.00	1.475	0.027	0.031	0.018
14.02	1.475	0.027	0.032	0.018
14.04	1.475	0.027	0.033	0.018
14.06	1.475	0.027	0.034	0.019
14.08	1.475	0.027	0.035	0.019
14.10	1.475	0.027	0.036	0.020
14.12	1.476	0.027	0.037	0.020
14.14	1.477	0.026	0.039	0.021
14.16	1.476	0.025	0.040	0.022
14.18	1.476	0.025	0.041	0.024
14.20	1.477	0.024	0.042	0.025
14.22	1.476	0.023	0.042	0.027
14.24	1.475	0.023	0.043	0.029
14.26	1.475	0.023	0.044	0.031
14.28	1.475	0.022	0.043	0.032
14.30	1.474	0.022	0.044	0.034
14.32	1.474	0.021	0.045	0.036
14.34	1.473	0.021	0.045	0.039
14.36	1.472	0.021	0.044	0.030
14.38	1.472	0.021	0.044	0.025
14.40	1.472	0.021	0.043	0.022
14.42	1.471	0.021	0.041	0.021
14.44	1.471	0.021	0.039	0.020
14.46	1.470	0.021	0.036	0.017
14.48	1.470	0.021	0.033	0.015
14.50	1.470	0.021	0.030	0.012
14.52	1.470	0.021	0.028	0.012
14.54	1.469	0.021	0.026	0.012
14.56	1.469	0.021	0.025	0.012
14.58	1.469	0.021	0.023	0.012
14.60	1.469	0.021	0.021	0.012
14.62	1.469	0.021	0.020	0.012
14.64	1.469	0.021	0.018	0.012
14.66	1.468	0.021	0.016	0.012
14.68	1.469	0.021	0.015	0.012
14.70	1.468	0.021	0.013	0.012
14.72	1.468	0.021	0.012	0.012
14.74	1.468	0.021	0.010	0.012
14.76	1.469	0.021	0.009	0.012
14.78	1.468	0.021	0.007	0.012
14.80	1.469	0.021	0.006	0.012
14.82	1.468	0.021	0.005	0.012
14.84	1.469	0.021	0.003	0.012
14.86	1.469	0.021	0.002	0.012
14.88	1.470	0.021	0.001	0.012
14.90	1.470	0.021	0.002	0.012
14.92	1.471	0.021	0.004	0.012
14.94	1.471	0.021	0.005	0.012
14.96	1.474	0.021	0.007	0.012
14.98	1.474	0.021	0.009	0.012
15.00	1.484	0.021	0.011	0.012
