wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
6.14	1.430	0.006	0.005	0.001
6.16	1.429	0.006	0.005	0.001
6.18	1.428	0.006	0.005	0.001
6.20	1.427	0.006	0.005	0.001
6.22	1.426	0.006	0.005	0.001
6.24	1.424	0.006	0.005	0.001
6.26	1.423	0.005	0.005	0.001
6.28	1.420	0.005	0.005	0.001
6.30	1.420	0.005	0.005	0.001
6.32	1.416	0.004	0.005	0.001
6.34	1.414	0.005	0.005	0.001
6.36	1.410	0.005	0.006	0.001
6.38	1.407	0.006	0.006	0.001
6.40	1.401	0.007	0.007	0.001
6.42	1.399	0.013	0.006	0.001
6.44	1.398	0.011	0.006	0.001
6.46	1.389	0.015	0.007	0.001
6.48	1.387	0.022	0.007	0.001
6.50	1.385	0.026	0.007	0.001
6.52	1.382	0.032	0.007	0.002
6.54	1.381	0.038	0.007	0.002
6.56	1.380	0.044	0.007	0.002
6.58	1.380	0.051	0.007	0.002
6.60	1.380	0.057	0.008	0.003
6.62	1.381	0.065	0.008	0.003
6.64	1.383	0.073	0.007	0.003
6.66	1.388	0.081	0.007	0.004
6.68	1.393	0.087	0.007	0.004
6.70	1.399	0.093	0.007	0.005
6.72	1.406	0.097	0.006	0.005
6.74	1.413	0.101	0.006	0.005
6.76	1.421	0.103	0.006	0.005
6.78	1.429	0.105	0.005	0.005
6.80	1.437	0.105	0.005	0.006
6.82	1.444	0.105	0.005	0.006
6.84	1.452	0.103	0.004	0.005
6.86	1.458	0.101	0.004	0.005
6.88	1.464	0.097	0.003	0.005
6.90	1.468	0.094	0.003	0.005
6.92	1.475	0.090	0.003	0.005
6.94	1.477	0.085	0.003	0.005
6.96	1.481	0.082	0.003	0.005
6.98	1.484	0.077	0.003	0.004
7.00	1.486	0.073	0.002	0.004
7.02	1.488	0.068	0.002	0.004
7.04	1.489	0.064	0.002	0.004
7.06	1.490	0.060	0.002	0.003
7.08	1.491	0.056	0.002	0.003
7.10	1.491	0.051	0.002	0.003
7.12	1.490	0.048	0.002	0.003
7.14	1.491	0.044	0.002	0.003
7.16	1.490	0.040	0.002	0.003
7.18	1.488	0.037	0.002	0.002
7.20	1.487	0.034	0.002	0.002
7.22	1.486	0.031	0.002	0.002
7.24	1.484	0.029	0.002	0.002
7.26	1.482	0.027	0.002	0.002
7.28	1.481	0.025	0.002	0.002
7.30	1.479	0.023	0.002	0.002
