wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
6.14	1.456	0.005	0.011	0.001
6.16	1.455	0.007	0.011	0.001
6.18	1.456	0.008	0.011	0.002
6.20	1.456	0.009	0.011	0.002
6.22	1.458	0.011	0.010	0.002
6.24	1.460	0.012	0.010	0.002
6.26	1.462	0.011	0.009	0.002
6.28	1.463	0.010	0.009	0.002
6.30	1.465	0.008	0.009	0.002
6.32	1.464	0.004	0.009	0.001
6.34	1.463	0.004	0.009	0.001
6.36	1.463	0.003	0.009	0.001
6.38	1.461	0.002	0.010	0.001
6.40	1.460	0.001	0.010	0.000
6.42	1.459	0.001	0.010	0.000
6.44	1.458	0.001	0.011	0.000
6.46	1.457	0.001	0.011	0.000
6.48	1.456	0.001	0.011	0.000
6.50	1.455	0.001	0.011	0.000
6.52	1.455	0.001	0.011	0.000
6.54	1.454	0.001	0.011	0.000
6.56	1.453	0.001	0.011	0.000
6.58	1.453	0.001	0.011	0.000
6.60	1.452	0.001	0.012	0.000
6.62	1.451	0.001	0.012	0.000
6.64	1.450	0.001	0.012	0.000
6.66	1.450	0.001	0.012	0.000
6.68	1.449	0.001	0.012	0.000
6.70	1.448	0.001	0.013	0.000
6.72	1.447	0.001	0.013	0.001
6.74	1.445	0.002	0.013	0.001
6.76	1.445	0.003	0.014	0.001
6.78	1.445	0.003	0.013	0.000
6.80	1.443	0.004	0.014	0.001
6.82	1.442	0.004	0.014	0.001
6.84	1.441	0.007	0.014	0.001
6.86	1.443	0.007	0.014	0.001
6.88	1.441	0.007	0.014	0.001
6.90	1.442	0.009	0.014	0.002
6.92	1.442	0.008	0.014	0.002
6.94	1.442	0.009	0.014	0.002
6.96	1.442	0.009	0.014	0.002
6.98	1.442	0.010	0.014	0.002
7.00	1.442	0.011	0.014	0.003
7.02	1.442	0.011	0.014	0.003
7.04	1.443	0.011	0.014	0.003
7.06	1.444	0.011	0.014	0.003
7.08	1.443	0.010	0.014	0.002
7.10	1.443	0.010	0.014	0.002
7.12	1.442	0.010	0.014	0.003
7.14	1.443	0.011	0.014	0.003
7.16	1.443	0.010	0.014	0.003
7.18	1.442	0.010	0.014	0.003
7.20	1.442	0.010	0.014	0.003
7.22	1.442	0.009	0.014	0.002
7.24	1.440	0.009	0.014	0.003
7.26	1.440	0.010	0.014	0.003
7.28	1.440	0.010	0.014	0.003
7.30	1.439	0.009	0.014	0.003
7.32	1.439	0.009	0.014	0.003
7.34	1.438	0.009	0.014	0.003
7.36	1.438	0.010	0.014	0.003
7.38	1.437	0.009	0.014	0.003
7.40	1.436	0.010	0.015	0.003
7.42	1.437	0.010	0.014	0.003
7.44	1.436	0.010	0.014	0.003
7.46	1.436	0.011	0.014	0.003
7.48	1.436	0.010	0.014	0.003
7.50	1.435	0.010	0.014	0.003
7.52	1.435	0.010	0.014	0.003
7.54	1.434	0.010	0.015	0.003
7.56	1.434	0.010	0.015	0.003
7.58	1.433	0.010	0.015	0.003
7.60	1.433	0.010	0.015	0.003
7.62	1.432	0.010	0.015	0.003
7.64	1.432	0.009	0.015	0.003
7.66	1.431	0.009	0.015	0.003
7.68	1.430	0.009	0.015	0.003
7.70	1.429	0.008	0.015	0.003
7.72	1.428	0.008	0.015	0.003
7.74	1.428	0.009	0.015	0.003
7.76	1.427	0.008	0.015	0.002
7.78	1.425	0.008	0.016	0.002
7.80	1.424	0.008	0.016	0.002
7.82	1.422	0.008	0.016	0.002
7.84	1.421	0.008	0.016	0.002
7.86	1.419	0.008	0.017	0.002
7.88	1.417	0.009	0.017	0.003
7.90	1.416	0.010	0.017	0.003
7.92	1.414	0.009	0.017	0.002
7.94	1.412	0.010	0.017	0.003
7.96	1.411	0.011	0.018	0.003
7.98	1.409	0.012	0.018	0.003
8.00	1.408	0.014	0.018	0.003
8.02	1.406	0.015	0.019	0.003
8.04	1.405	0.016	0.019	0.004
8.06	1.403	0.018	0.019	0.004
8.08	1.402	0.020	0.019	0.004
8.10	1.402	0.022	0.019	0.004
8.12	1.402	0.023	0.019	0.004
8.14	1.401	0.024	0.019	0.004
8.16	1.400	0.026	0.019	0.005
8.18	1.400	0.026	0.019	0.005
8.20	1.399	0.028	0.020	0.005
8.22	1.399	0.029	0.020	0.005
8.24	1.399	0.030	0.020	0.005
8.26	1.398	0.030	0.020	0.005
8.28	1.397	0.032	0.020	0.006
8.30	1.396	0.033	0.020	0.006
8.32	1.395	0.034	0.020	0.006
8.34	1.394	0.036	0.020	0.006
8.36	1.393	0.037	0.020	0.007
