wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
6.14	1.344	0.005	0.030	0.002
6.16	1.344	0.005	0.030	0.002
6.18	1.343	0.005	0.030	0.002
6.20	1.342	0.005	0.040	0.002
6.22	1.341	0.005	0.040	0.002
6.24	1.341	0.005	0.050	0.002
6.26	1.340	0.005	0.050	0.002
6.28	1.339	0.005	0.060	0.002
6.30	1.338	0.005	0.070	0.002
6.32	1.337	0.005	0.070	0.002
6.34	1.336	0.005	0.060	0.002
6.36	1.336	0.005	0.070	0.002
6.38	1.335	0.005	0.070	0.002
6.40	1.334	0.005	0.070	0.002
6.42	1.333	0.005	0.060	0.002
6.44	1.332	0.005	0.060	0.002
6.46	1.331	0.005	0.060	0.002
6.48	1.330	0.005	0.050	0.002
6.50	1.329	0.005	0.040	0.002
6.52	1.329	0.005	0.030	0.002
6.54	1.328	0.005	0.020	0.002
6.56	1.327	0.005	0.010	0.002
6.58	1.326	0.005	0.010	0.002
6.60	1.325	0.005	0.010	0.002
6.62	1.324	0.005	0.010	0.002
6.64	1.323	0.005	0.010	0.002
6.66	1.322	0.005	0.020	0.002
6.68	1.321	0.005	0.020	0.002
6.70	1.320	0.005	0.020	0.002
6.72	1.319	0.005	0.020	0.002
6.74	1.318	0.005	0.020	0.002
6.76	1.317	0.005	0.020	0.002
6.78	1.316	0.005	0.010	0.002
6.80	1.315	0.005	0.010	0.002
6.82	1.314	0.005	0.010	0.002
6.84	1.313	0.005	0.010	0.002
6.86	1.312	0.005	0.010	0.002
6.88	1.311	0.005	0.010	0.002
6.90	1.309	0.005	0.010	0.002
6.92	1.308	0.005	0.010	0.002
6.94	1.307	0.005	0.010	0.002
6.96	1.306	0.005	0.010	0.002
6.98	1.305	0.005	0.010	0.002
7.00	1.303	0.005	0.010	0.002
7.02	1.302	0.005	0.010	0.002
7.04	1.301	0.005	0.010	0.002
7.06	1.300	0.005	0.010	0.002
7.08	1.298	0.005	0.010	0.002
7.10	1.297	0.005	0.010	0.002
7.12	1.296	0.005	0.010	0.002
7.14	1.294	0.005	0.010	0.002
7.16	1.293	0.005	0.010	0.002
7.18	1.292	0.005	0.020	0.002
7.20	1.290	0.005	0.020	0.002
7.22	1.289	0.005	0.020	0.002
7.24	1.287	0.005	0.020	0.002
7.26	1.286	0.005	0.010	0.002
7.28	1.284	0.005	0.020	0.002
7.30	1.283	0.005	0.020	0.002
7.32	1.281	0.005	0.020	0.002
7.34	1.279	0.005	0.020	0.002
7.36	1.278	0.005	0.020	0.002
7.38	1.276	0.005	0.020	0.002
7.40	1.274	0.005	0.020	0.002
7.42	1.273	0.005	0.020	0.002
7.44	1.271	0.005	0.020	0.002
7.46	1.269	0.005	0.020	0.002
7.48	1.267	0.005	0.020	0.002
7.50	1.265	0.005	0.020	0.002
7.52	1.263	0.005	0.020	0.002
