wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
6.14	1.291	0.002	0.032	0.001
6.16	1.290	0.002	0.033	0.001
6.18	1.289	0.002	0.033	0.001
6.20	1.288	0.002	0.033	0.001
6.22	1.287	0.002	0.033	0.001
6.24	1.285	0.002	0.035	0.001
6.26	1.284	0.002	0.035	0.001
6.28	1.283	0.002	0.036	0.001
6.30	1.282	0.002	0.037	0.001
6.32	1.281	0.002	0.037	0.001
6.34	1.279	0.002	0.037	0.001
6.36	1.278	0.002	0.038	0.001
6.38	1.277	0.002	0.038	0.001
6.40	1.276	0.002	0.039	0.001
6.42	1.274	0.002	0.038	0.001
6.44	1.273	0.002	0.038	0.001
6.46	1.272	0.002	0.037	0.001
6.48	1.270	0.002	0.038	0.001
6.50	1.269	0.002	0.037	0.001
6.52	1.268	0.002	0.036	0.001
6.54	1.266	0.002	0.035	0.001
6.56	1.265	0.002	0.036	0.001
6.58	1.263	0.002	0.035	0.001
6.60	1.262	0.002	0.035	0.001
6.62	1.260	0.002	0.035	0.001
6.64	1.259	0.002	0.035	0.001
6.66	1.257	0.002	0.035	0.001
6.68	1.256	0.002	0.035	0.001
6.70	1.254	0.002	0.035	0.001
6.72	1.253	0.002	0.035	0.001
6.74	1.251	0.002	0.035	0.001
6.76	1.250	0.002	0.036	0.001
6.78	1.248	0.002	0.036	0.001
6.80	1.246	0.002	0.037	0.001
6.82	1.245	0.002	0.036	0.001
6.84	1.243	0.002	0.037	0.001
6.86	1.241	0.002	0.038	0.001
6.88	1.240	0.002	0.038	0.001
6.90	1.238	0.002	0.039	0.001
6.92	1.236	0.002	0.039	0.001
6.94	1.234	0.002	0.039	0.001
6.96	1.232	0.002	0.040	0.001
6.98	1.230	0.002	0.039	0.001
7.00	1.228	0.002	0.040	0.001
7.02	1.226	0.002	0.041	0.001
7.04	1.224	0.002	0.041	0.001
7.06	1.222	0.002	0.041	0.001
7.08	1.220	0.002	0.042	0.001
7.10	1.218	0.002	0.042	0.001
7.12	1.216	0.002	0.042	0.001
7.14	1.213	0.002	0.042	0.001
7.16	1.211	0.002	0.042	0.001
7.18	1.209	0.002	0.042	0.001
7.20	1.206	0.002	0.043	0.001
7.22	1.204	0.002	0.043	0.001
7.24	1.201	0.002	0.044	0.001
