wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
6.14	1.362	0.004	0.004	0.001
6.16	1.361	0.004	0.004	0.001
6.18	1.361	0.004	0.004	0.001
6.20	1.360	0.004	0.005	0.001
6.22	1.359	0.004	0.005	0.001
6.24	1.359	0.004	0.005	0.001
6.26	1.358	0.004	0.005	0.001
6.28	1.357	0.004	0.005	0.001
6.30	1.356	0.004	0.005	0.001
6.32	1.356	0.004	0.005	0.001
6.34	1.355	0.004	0.004	0.001
6.36	1.354	0.004	0.005	0.001
6.38	1.353	0.004	0.005	0.001
6.40	1.353	0.004	0.005	0.001
6.42	1.352	0.004	0.004	0.001
6.44	1.351	0.004	0.005	0.001
6.46	1.350	0.004	0.005	0.001
6.48	1.350	0.004	0.005	0.001
6.50	1.349	0.004	0.005	0.001
6.52	1.348	0.004	0.005	0.001
6.54	1.348	0.004	0.005	0.001
6.56	1.347	0.003	0.005	0.001
6.58	1.345	0.003	0.005	0.001
6.60	1.344	0.003	0.005	0.001
6.62	1.343	0.004	0.005	0.001
6.64	1.342	0.003	0.005	0.001
6.66	1.340	0.004	0.006	0.001
6.68	1.341	0.004	0.005	0.001
6.70	1.339	0.004	0.006	0.001
6.72	1.339	0.004	0.005	0.001
6.74	1.337	0.004	0.006	0.001
6.76	1.337	0.004	0.005	0.001
6.78	1.335	0.003	0.006	0.001
6.80	1.334	0.004	0.006	0.001
6.82	1.333	0.004	0.006	0.001
6.84	1.332	0.004	0.006	0.001
6.86	1.331	0.004	0.006	0.001
6.88	1.330	0.004	0.006	0.001
6.90	1.329	0.004	0.006	0.001
6.92	1.328	0.004	0.006	0.001
6.94	1.327	0.004	0.006	0.001
6.96	1.326	0.004	0.006	0.001
6.98	1.325	0.004	0.006	0.001
7.00	1.323	0.004	0.006	0.001
7.02	1.322	0.004	0.006	0.001
7.04	1.321	0.004	0.006	0.001
7.06	1.320	0.004	0.006	0.001
7.08	1.318	0.004	0.006	0.001
7.10	1.317	0.004	0.006	0.001
7.12	1.316	0.004	0.006	0.001
7.14	1.314	0.004	0.006	0.001
7.16	1.313	0.004	0.006	0.001
7.18	1.312	0.004	0.006	0.001
7.20	1.310	0.004	0.007	0.001
7.22	1.309	0.004	0.007	0.001
7.24	1.307	0.004	0.007	0.001
7.26	1.306	0.004	0.007	0.001
7.28	1.305	0.004	0.007	0.001
7.30	1.303	0.003	0.007	0.001
7.32	1.300	0.003	0.007	0.001
7.34	1.299	0.003	0.007	0.001
7.36	1.297	0.003	0.007	0.001
7.38	1.295	0.003	0.007	0.001
7.40	1.293	0.003	0.007	0.001
7.42	1.291	0.003	0.007	0.001
7.44	1.288	0.003	0.007	0.001
7.46	1.286	0.003	0.007	0.001
7.48	1.284	0.003	0.007	0.001
7.50	1.281	0.003	0.007	0.001
7.52	1.278	0.003	0.007	0.001
7.54	1.276	0.004	0.007	0.001
7.56	1.274	0.004	0.008	0.001
7.58	1.272	0.003	0.008	0.001
7.60	1.268	0.003	0.008	0.001
7.62	1.265	0.004	0.008	0.001
7.64	1.263	0.004	0.008	0.001
7.66	1.259	0.003	0.008	0.001
7.68	1.254	0.004	0.008	0.001
7.70	1.252	0.004	0.008	0.001
7.72	1.246	0.004	0.009	0.001
7.74	1.242	0.007	0.009	0.001
7.76	1.239	0.008	0.009	0.001
7.78	1.235	0.008	0.009	0.001
7.80	1.228	0.009	0.009	0.001
7.82	1.224	0.013	0.009	0.001
7.84	1.220	0.012	0.010	0.001
7.86	1.212	0.015	0.010	0.001
7.88	1.208	0.020	0.010	0.001
7.90	1.202	0.023	0.010	0.001
7.92	1.197	0.029	0.011	0.001
7.94	1.194	0.032	0.010	0.001
7.96	1.188	0.038	0.011	0.001
7.98	1.186	0.044	0.011	0.001
8.00	1.181	0.049	0.011	0.001
8.02	1.180	0.056	0.011	0.002
8.04	1.177	0.060	0.012	0.002
8.06	1.175	0.068	0.011	0.002
8.08	1.175	0.072	0.011	0.002
8.10	1.174	0.077	0.012	0.003
8.12	1.172	0.081	0.012	0.002
8.14	1.171	0.087	0.012	0.003
8.16	1.171	0.090	0.012	0.003
8.18	1.170	0.095	0.012	0.003
8.20	1.168	0.097	0.012	0.003
8.22	1.166	0.103	0.012	0.004
