wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
6.14	1.365	0.018	0.006	0.006
6.16	1.365	0.020	0.006	0.006
6.18	1.366	0.022	0.006	0.005
6.20	1.368	0.023	0.006	0.005
6.22	1.370	0.022	0.006	0.005
6.24	1.369	0.021	0.006	0.005
6.26	1.368	0.020	0.007	0.005
6.28	1.365	0.021	0.007	0.005
6.30	1.365	0.022	0.008	0.005
6.32	1.363	0.023	0.007	0.006
6.34	1.364	0.024	0.007	0.006
6.36	1.360	0.025	0.007	0.006
6.38	1.361	0.028	0.007	0.007
6.40	1.358	0.029	0.006	0.007
6.42	1.361	0.037	0.006	0.007
6.44	1.365	0.033	0.006	0.008
6.46	1.362	0.035	0.005	0.008
6.48	1.364	0.037	0.005	0.008
6.50	1.364	0.037	0.004	0.008
6.52	1.365	0.038	0.003	0.008
6.54	1.364	0.038	0.003	0.007
6.56	1.362	0.041	0.003	0.007
6.58	1.366	0.046	0.002	0.006
6.60	1.368	0.045	0.003	0.006
6.62	1.369	0.048	0.002	0.005
6.64	1.375	0.047	0.003	0.005
6.66	1.374	0.043	0.003	0.005
6.68	1.372	0.045	0.002	0.005
6.70	1.375	0.047	0.002	0.005
6.72	1.377	0.046	0.002	0.005
6.74	1.377	0.046	0.002	0.004
6.76	1.377	0.047	0.003	0.004
6.78	1.380	0.048	0.003	0.004
6.80	1.381	0.047	0.003	0.004
6.82	1.383	0.047	0.002	0.004
6.84	1.384	0.045	0.003	0.003
6.86	1.384	0.046	0.003	0.004
6.88	1.387	0.045	0.003	0.004
6.90	1.388	0.043	0.003	0.004
6.92	1.387	0.042	0.003	0.003
6.94	1.388	0.043	0.003	0.003
6.96	1.391	0.041	0.003	0.004
6.98	1.390	0.038	0.002	0.003
7.00	1.390	0.038	0.002	0.003
7.02	1.391	0.036	0.003	0.003
7.04	1.389	0.035	0.003	0.002
7.06	1.390	0.036	0.003	0.003
7.08	1.391	0.034	0.003	0.003
7.10	1.391	0.033	0.003	0.003
7.12	1.391	0.031	0.003	0.002
7.14	1.390	0.031	0.003	0.002
7.16	1.392	0.029	0.003	0.002
7.18	1.390	0.027	0.003	0.002
7.20	1.389	0.026	0.003	0.002
7.22	1.389	0.026	0.003	0.001
7.24	1.389	0.024	0.004	0.002
7.26	1.388	0.023	0.004	0.001
7.28	1.387	0.021	0.004	0.002
7.30	1.385	0.021	0.004	0.001
7.32	1.386	0.020	0.004	0.001
7.34	1.384	0.018	0.004	0.002
7.36	1.382	0.018	0.004	0.001
7.38	1.382	0.017	0.004	0.001
7.40	1.380	0.016	0.005	0.001
7.42	1.379	0.016	0.005	0.001
7.44	1.378	0.015	0.005	0.001
7.46	1.376	0.014	0.005	0.002
7.48	1.374	0.013	0.004	0.002
7.50	1.372	0.014	0.004	0.001
7.52	1.371	0.013	0.005	0.001
7.54	1.369	0.013	0.005	0.001
7.56	1.364	0.013	0.005	0.001
7.58	1.363	0.020	0.005	0.002
7.60	1.367	0.019	0.005	0.002
7.62	1.366	0.019	0.005	0.002
7.64	1.368	0.017	0.005	0.002
7.66	1.365	0.016	0.005	0.001
7.68	1.365	0.015	0.006	0.001
