wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
6.14	1.424	0.014	0.011	0.002
6.16	1.423	0.013	0.012	0.002
6.18	1.423	0.012	0.012	0.002
6.20	1.421	0.011	0.012	0.002
6.22	1.420	0.010	0.012	0.002
6.24	1.418	0.009	0.013	0.002
6.26	1.416	0.009	0.012	0.002
6.28	1.414	0.009	0.013	0.002
6.30	1.412	0.009	0.013	0.002
6.32	1.411	0.010	0.013	0.002
6.34	1.409	0.009	0.013	0.002
6.36	1.406	0.010	0.014	0.002
6.38	1.405	0.012	0.014	0.002
6.40	1.403	0.012	0.014	0.002
6.42	1.401	0.013	0.014	0.002
6.44	1.399	0.014	0.015	0.002
6.46	1.397	0.016	0.015	0.003
6.48	1.395	0.018	0.016	0.003
6.50	1.393	0.020	0.016	0.003
6.52	1.392	0.023	0.016	0.004
6.54	1.392	0.026	0.016	0.004
6.56	1.391	0.027	0.016	0.004
6.58	1.390	0.030	0.016	0.004
6.60	1.389	0.033	0.017	0.005
6.62	1.390	0.036	0.016	0.005
6.64	1.390	0.038	0.016	0.006
6.66	1.390	0.042	0.016	0.006
6.68	1.392	0.044	0.016	0.007
6.70	1.393	0.047	0.016	0.007
6.72	1.395	0.048	0.015	0.007
6.74	1.395	0.050	0.015	0.007
6.76	1.397	0.053	0.015	0.008
6.78	1.400	0.055	0.015	0.008
6.80	1.402	0.057	0.015	0.008
6.82	1.405	0.058	0.014	0.008
6.84	1.408	0.058	0.014	0.009
6.86	1.410	0.059	0.013	0.009
6.88	1.413	0.060	0.013	0.009
6.90	1.416	0.059	0.012	0.009
6.92	1.419	0.059	0.012	0.008
6.94	1.422	0.058	0.012	0.009
6.96	1.425	0.057	0.011	0.008
6.98	1.428	0.054	0.011	0.008
7.00	1.428	0.052	0.011	0.008
7.02	1.430	0.050	0.010	0.007
7.04	1.430	0.048	0.011	0.007
7.06	1.431	0.047	0.010	0.007
7.08	1.431	0.045	0.010	0.007
7.10	1.433	0.044	0.010	0.007
7.12	1.434	0.040	0.010	0.006
7.14	1.433	0.038	0.010	0.006
7.16	1.433	0.036	0.010	0.005
7.18	1.432	0.035	0.010	0.005
7.20	1.432	0.033	0.010	0.005
7.22	1.432	0.032	0.010	0.005
7.24	1.431	0.030	0.010	0.005
7.26	1.431	0.029	0.010	0.004
7.28	1.430	0.026	0.010	0.004
7.30	1.428	0.026	0.011	0.004
7.32	1.428	0.024	0.011	0.004
7.34	1.426	0.023	0.011	0.003
7.36	1.426	0.023	0.011	0.004
7.38	1.425	0.022	0.011	0.004
7.40	1.425	0.020	0.011	0.003
7.42	1.423	0.019	0.011	0.003
7.44	1.422	0.018	0.011	0.003
7.46	1.420	0.017	0.012	0.003
7.48	1.419	0.017	0.012	0.003
7.50	1.419	0.016	0.012	0.003
7.52	1.417	0.015	0.012	0.003
7.54	1.416	0.015	0.012	0.003
7.56	1.416	0.014	0.012	0.002
7.58	1.415	0.012	0.012	0.002
7.60	1.413	0.011	0.012	0.002
7.62	1.411	0.011	0.013	0.002
7.64	1.411	0.010	0.013	0.002
7.66	1.408	0.009	0.013	0.002
7.68	1.408	0.009	0.013	0.002
7.70	1.406	0.007	0.013	0.001
7.72	1.404	0.007	0.013	0.001
7.74	1.403	0.006	0.014	0.001
7.76	1.401	0.005	0.014	0.001
7.78	1.399	0.004	0.014	0.001
7.80	1.396	0.004	0.015	0.001
7.82	1.394	0.004	0.015	0.001
7.84	1.393	0.004	0.015	0.001
7.86	1.391	0.003	0.015	0.001
7.88	1.389	0.003	0.016	0.001
7.90	1.387	0.002	0.016	0.001
7.92	1.384	0.002	0.016	0.001
7.94	1.382	0.002	0.017	0.001
7.96	1.379	0.002	0.017	0.001
7.98	1.377	0.003	0.017	0.001
8.00	1.376	0.002	0.018	0.001
8.02	1.372	0.002	0.018	0.001
8.04	1.370	0.002	0.018	0.001
8.06	1.367	0.002	0.019	0.001
8.08	1.364	0.003	0.019	0.001
8.10	1.361	0.003	0.019	0.001
8.12	1.358	0.004	0.020	0.001
8.14	1.355	0.005	0.020	0.001
8.16	1.352	0.007	0.020	0.001
8.18	1.350	0.008	0.021	0.001
8.20	1.347	0.009	0.021	0.001
8.22	1.345	0.010	0.022	0.001
8.24	1.341	0.011	0.022	0.002
8.26	1.338	0.014	0.022	0.002
8.28	1.336	0.015	0.022	0.002
8.30	1.332	0.017	0.023	0.002
8.32	1.330	0.020	0.023	0.003
8.34	1.328	0.022	0.024	0.003
8.36	1.325	0.025	0.024	0.003
8.38	1.324	0.027	0.024	0.004
8.40	1.321	0.029	0.025	0.004
8.42	1.320	0.033	0.025	0.005
8.44	1.318	0.034	0.025	0.005
8.46	1.315	0.038	0.025	0.005
8.48	1.315	0.040	0.025	0.005
8.50	1.312	0.043	0.026	0.006
8.52	1.312	0.046	0.026	0.006
8.54	1.310	0.047	0.026	0.006
8.56	1.308	0.050	0.026	0.007
8.58	1.307	0.053	0.026	0.007
8.60	1.305	0.055	0.027	0.007
8.62	1.304	0.058	0.027	0.008
8.64	1.303	0.060	0.027	0.008
8.66	1.301	0.063	0.027	0.008
8.68	1.300	0.065	0.027	0.009
8.70	1.297	0.067	0.028	0.009
8.72	1.296	0.070	0.028	0.009
8.74	1.293	0.072	0.028	0.010
8.76	1.291	0.076	0.028	0.010
8.78	1.289	0.079	0.029	0.011
8.80	1.286	0.083	0.029	0.011
8.82	1.284	0.087	0.029	0.011
8.84	1.282	0.092	0.029	0.012
8.86	1.281	0.096	0.030	0.013
8.88	1.279	0.102	0.030	0.013
8.90	1.280	0.106	0.030	0.014
8.92	1.278	0.110	0.030	0.014
8.94	1.278	0.115	0.030	0.015
8.96	1.277	0.120	0.030	0.016
8.98	1.277	0.126	0.030	0.017
9.00	1.279	0.130	0.030	0.017
9.02	1.278	0.134	0.030	0.018
9.04	1.279	0.139	0.029	0.018
9.06	1.280	0.143	0.030	0.018
9.08	1.281	0.147	0.029	0.019
9.10	1.281	0.151	0.029	0.019
9.12	1.282	0.155	0.029	0.020
9.14	1.283	0.158	0.029	0.020
9.16	1.283	0.162	0.029	0.021
9.18	1.284	0.166	0.029	0.021
9.20	1.284	0.168	0.029	0.021
9.22	1.283	0.172	0.029	0.022
9.24	1.282	0.176	0.029	0.022
9.26	1.282	0.180	0.030	0.023
9.28	1.281	0.184	0.029	0.023
9.30	1.279	0.189	0.030	0.024
9.32	1.277	0.195	0.030	0.025
9.34	1.277	0.201	0.030	0.025
9.36	1.275	0.207	0.030	0.026
9.38	1.273	0.215	0.031	0.027
9.40	1.272	0.223	0.031	0.028
9.42	1.271	0.233	0.031	0.029
9.44	1.272	0.243	0.031	0.031
9.46	1.273	0.253	0.031	0.032
9.48	1.275	0.264	0.030	0.033
9.50	1.276	0.276	0.030	0.035
9.52	1.280	0.290	0.030	0.037
9.54	1.287	0.304	0.029	0.038
9.56	1.296	0.316	0.028	0.040
9.58	1.304	0.328	0.027	0.041
9.60	1.315	0.341	0.026	0.042
9.62	1.328	0.352	0.024	0.044
9.64	1.342	0.361	0.023	0.045
9.66	1.358	0.370	0.021	0.046
9.68	1.374	0.375	0.019	0.047
9.70	1.389	0.380	0.018	0.048
9.72	1.407	0.383	0.015	0.049
9.74	1.424	0.383	0.014	0.049
9.76	1.439	0.382	0.011	0.049
9.78	1.454	0.380	0.010	0.049
9.80	1.467	0.377	0.009	0.049
9.82	1.480	0.374	0.007	0.048
9.84	1.493	0.370	0.006	0.048
9.86	1.504	0.366	0.005	0.048
9.88	1.516	0.362	0.005	0.047
9.90	1.528	0.357	0.005	0.047
9.92	1.539	0.352	0.005	0.046
9.94	1.550	0.346	0.006	0.046
9.96	1.560	0.340	0.007	0.045
9.98	1.571	0.334	0.008	0.044
10.00	1.581	0.326	0.010	0.044
10.02	1.590	0.318	0.010	0.043
10.04	1.599	0.310	0.012	0.042
10.06	1.608	0.301	0.013	0.040
10.08	1.616	0.291	0.015	0.039
10.10	1.623	0.281	0.016	0.037
10.12	1.629	0.270	0.017	0.035
10.14	1.634	0.260	0.018	0.034
10.16	1.639	0.249	0.018	0.032
10.18	1.642	0.238	0.018	0.030
10.20	1.646	0.227	0.019	0.028
10.22	1.647	0.215	0.019	0.027
10.24	1.648	0.205	0.019	0.025
10.26	1.648	0.194	0.018	0.023
10.28	1.646	0.185	0.018	0.022
10.30	1.646	0.176	0.017	0.021
10.32	1.644	0.167	0.017	0.020
10.34	1.643	0.158	0.016	0.019
10.36	1.639	0.150	0.016	0.018
10.38	1.637	0.143	0.015	0.017
10.40	1.633	0.136	0.015	0.016
10.42	1.630	0.130	0.014	0.015
10.44	1.626	0.124	0.014	0.014
10.46	1.623	0.120	0.013	0.014
10.48	1.620	0.114	0.013	0.013
10.50	1.616	0.110	0.012	0.013
10.52	1.613	0.106	0.012	0.012
10.54	1.609	0.102	0.011	0.012
10.56	1.605	0.099	0.011	0.012
10.58	1.603	0.097	0.010	0.012
10.60	1.601	0.093	0.010	0.011
10.62	1.598	0.090	0.009	0.011
10.64	1.594	0.087	0.009	0.011
10.66	1.591	0.086	0.008	0.011
10.68	1.589	0.083	0.008	0.010
10.70	1.586	0.082	0.008	0.010
10.72	1.584	0.079	0.008	0.010
10.74	1.580	0.078	0.007	0.010
10.76	1.579	0.077	0.007	0.010
10.78	1.576	0.075	0.007	0.010
10.80	1.574	0.074	0.007	0.009
10.82	1.571	0.073	0.006	0.009
10.84	1.570	0.073	0.006	0.009
10.86	1.568	0.072	0.005	0.009
10.88	1.567	0.071	0.006	0.009
10.90	1.565	0.070	0.005	0.009
10.92	1.564	0.070	0.005	0.009
10.94	1.563	0.069	0.005	0.009
10.96	1.563	0.069	0.005	0.009
10.98	1.563	0.067	0.005	0.008
11.00	1.561	0.065	0.005	0.009
11.02	1.560	0.064	0.005	0.008
11.04	1.560	0.062	0.005	0.008
11.06	1.558	0.060	0.004	0.008
11.08	1.557	0.059	0.004	0.008
11.10	1.556	0.057	0.004	0.008
11.12	1.554	0.055	0.004	0.007
11.14	1.552	0.053	0.003	0.007
11.16	1.549	0.052	0.003	0.007
11.18	1.547	0.051	0.003	0.007
11.20	1.543	0.051	0.003	0.007
11.22	1.542	0.052	0.002	0.007
11.24	1.540	0.051	0.002	0.007
11.26	1.536	0.052	0.002	0.007
11.28	1.535	0.054	0.002	0.008
11.30	1.534	0.055	0.002	0.008
11.32	1.533	0.058	0.002	0.008
11.34	1.535	0.059	0.002	0.008
11.36	1.535	0.060	0.002	0.008
11.38	1.537	0.062	0.002	0.009
11.40	1.539	0.061	0.002	0.009
11.42	1.541	0.061	0.002	0.009
11.44	1.543	0.059	0.002	0.009
11.46	1.543	0.058	0.002	0.008
11.48	1.547	0.056	0.003	0.008
11.50	1.547	0.052	0.003	0.008
11.52	1.547	0.050	0.003	0.007
11.54	1.547	0.046	0.003	0.007
11.56	1.546	0.043	0.003	0.007
11.58	1.545	0.040	0.003	0.006
11.60	1.543	0.038	0.003	0.006
11.62	1.541	0.035	0.002	0.006
11.64	1.539	0.033	0.002	0.005
11.66	1.536	0.032	0.002	0.005
11.68	1.534	0.032	0.002	0.005
11.70	1.533	0.030	0.002	0.005
11.72	1.530	0.030	0.002	0.005
11.74	1.529	0.029	0.001	0.005
11.76	1.527	0.029	0.001	0.005
11.78	1.526	0.028	0.001	0.005
11.80	1.523	0.027	0.001	0.005
11.82	1.522	0.028	0.001	0.005
11.84	1.521	0.027	0.001	0.005
11.86	1.519	0.027	0.001	0.004
11.88	1.519	0.027	0.001	0.004
11.90	1.518	0.026	0.002	0.004
11.92	1.515	0.026	0.002	0.005
11.94	1.515	0.026	0.002	0.005
11.96	1.513	0.025	0.002	0.004
11.98	1.512	0.026	0.002	0.004
12.00	1.511	0.025	0.002	0.004
12.02	1.509	0.026	0.003	0.004
12.04	1.508	0.026	0.002	0.004
12.06	1.507	0.026	0.003	0.004
12.08	1.507	0.026	0.003	0.004
12.10	1.506	0.026	0.003	0.004
12.12	1.505	0.026	0.003	0.005
12.14	1.504	0.026	0.003	0.005
12.16	1.503	0.025	0.002	0.004
12.18	1.502	0.025	0.003	0.004
12.20	1.501	0.024	0.003	0.004
12.22	1.499	0.024	0.003	0.004
12.24	1.497	0.024	0.003	0.004
12.26	1.496	0.025	0.004	0.004
12.28	1.495	0.025	0.003	0.004
12.30	1.493	0.025	0.004	0.004
12.32	1.491	0.026	0.004	0.004
12.34	1.489	0.027	0.004	0.005
12.36	1.488	0.029	0.004	0.005
12.38	1.487	0.030	0.004	0.005
12.40	1.486	0.032	0.004	0.005
12.42	1.486	0.034	0.005	0.005
12.44	1.486	0.036	0.005	0.006
12.46	1.486	0.038	0.005	0.006
12.48	1.488	0.039	0.005	0.006
12.50	1.489	0.040	0.005	0.006
12.52	1.490	0.040	0.004	0.006
12.54	1.491	0.040	0.004	0.006
12.56	1.492	0.040	0.004	0.006
12.58	1.492	0.039	0.004	0.006
12.60	1.493	0.039	0.004	0.006
12.62	1.493	0.038	0.004	0.006
12.64	1.492	0.038	0.004	0.006
12.66	1.492	0.037	0.004	0.006
12.68	1.491	0.038	0.004	0.006
12.70	1.492	0.038	0.004	0.006
12.72	1.491	0.038	0.004	0.006
12.74	1.491	0.039	0.004	0.006
12.76	1.492	0.039	0.004	0.006
12.78	1.492	0.039	0.004	0.007
12.80	1.492	0.039	0.004	0.006
12.82	1.493	0.039	0.004	0.006
12.84	1.493	0.039	0.004	0.006
12.86	1.495	0.038	0.004	0.006
12.88	1.494	0.037	0.004	0.006
12.90	1.495	0.037	0.004	0.006
12.92	1.494	0.035	0.004	0.006
12.94	1.494	0.035	0.004	0.006
12.96	1.493	0.034	0.004	0.006
12.98	1.492	0.034	0.004	0.006
13.00	1.492	0.034	0.004	0.006
13.02	1.491	0.034	0.004	0.006
13.04	1.491	0.034	0.004	0.006
13.06	1.491	0.034	0.004	0.006
13.08	1.491	0.034	0.004	0.006
13.10	1.491	0.034	0.004	0.006
13.12	1.491	0.034	0.004	0.006
13.14	1.490	0.034	0.004	0.006
13.16	1.491	0.034	0.004	0.006
13.18	1.491	0.034	0.004	0.006
13.20	1.491	0.033	0.004	0.006
13.22	1.490	0.033	0.004	0.006
13.24	1.491	0.034	0.004	0.006
13.26	1.491	0.033	0.004	0.006
13.28	1.491	0.033	0.004	0.006
13.30	1.491	0.033	0.004	0.006
