wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
8.10	1.268	0.009	0.049	0.002
8.12	1.265	0.007	0.049	0.001
8.14	1.260	0.007	0.051	0.001
8.16	1.255	0.008	0.051	0.002
8.18	1.250	0.010	0.053	0.002
8.20	1.248	0.012	0.053	0.002
8.22	1.243	0.011	0.055	0.002
8.24	1.237	0.015	0.056	0.003
8.26	1.236	0.016	0.056	0.003
8.28	1.230	0.017	0.057	0.003
8.30	1.225	0.020	0.059	0.004
8.32	1.221	0.024	0.059	0.004
8.34	1.219	0.026	0.060	0.005
8.36	1.213	0.028	0.061	0.006
8.38	1.210	0.030	0.062	0.006
8.40	1.203	0.032	0.063	0.007
8.42	1.200	0.038	0.064	0.008
8.44	1.195	0.039	0.065	0.008
8.46	1.189	0.045	0.066	0.010
8.48	1.187	0.050	0.066	0.010
8.50	1.183	0.054	0.068	0.011
8.52	1.179	0.058	0.069	0.013
8.54	1.175	0.063	0.070	0.014
8.56	1.172	0.068	0.070	0.014
8.58	1.170	0.073	0.071	0.015
8.60	1.166	0.076	0.071	0.017
8.62	1.161	0.081	0.073	0.018
8.64	1.158	0.088	0.073	0.019
8.66	1.155	0.093	0.075	0.021
8.68	1.152	0.099	0.074	0.022
8.70	1.150	0.105	0.076	0.023
8.72	1.147	0.109	0.075	0.025
8.74	1.143	0.115	0.077	0.026
8.76	1.141	0.124	0.077	0.027
8.78	1.142	0.128	0.078	0.029
8.80	1.135	0.132	0.078	0.031
8.82	1.133	0.141	0.079	0.032
8.84	1.130	0.147	0.079	0.033
8.86	1.128	0.157	0.080	0.035
8.88	1.129	0.162	0.079	0.037
8.90	1.125	0.168	0.081	0.039
8.92	1.124	0.179	0.080	0.040
8.94	1.126	0.184	0.080	0.041
8.96	1.123	0.191	0.080	0.043
8.98	1.125	0.198	0.080	0.045
9.00	1.121	0.202	0.080	0.046
9.02	1.121	0.212	0.080	0.047
9.04	1.121	0.216	0.080	0.048
9.06	1.119	0.223	0.081	0.050
9.08	1.118	0.228	0.080	0.051
9.10	1.115	0.234	0.082	0.053
9.12	1.110	0.241	0.082	0.054
9.14	1.108	0.250	0.083	0.056
9.16	1.104	0.256	0.083	0.057
9.18	1.099	0.265	0.085	0.059
9.20	1.091	0.274	0.085	0.061
9.22	1.085	0.289	0.087	0.064
9.24	1.080	0.301	0.087	0.066
9.26	1.075	0.318	0.089	0.070
9.28	1.071	0.333	0.088	0.074
9.30	1.067	0.354	0.090	0.078
9.32	1.065	0.373	0.089	0.082
9.34	1.064	0.398	0.089	0.087
9.36	1.068	0.420	0.087	0.090
9.38	1.070	0.445	0.088	0.095
9.40	1.078	0.471	0.085	0.099
9.42	1.088	0.497	0.085	0.104
9.44	1.101	0.522	0.081	0.108
9.46	1.115	0.549	0.080	0.113
9.48	1.135	0.573	0.076	0.117
9.50	1.154	0.596	0.075	0.123
