wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
9.84	1.793	0.672	0.019	0.078
9.86	1.812	0.659	0.022	0.075
9.88	1.829	0.637	0.023	0.075
9.90	1.848	0.620	0.029	0.073
9.92	1.869	0.597	0.029	0.070
9.94	1.889	0.571	0.035	0.066
9.96	1.907	0.542	0.033	0.060
9.98	1.924	0.506	0.035	0.063
10.00	1.930	0.472	0.040	0.060
10.02	1.940	0.435	0.041	0.054
10.04	1.932	0.398	0.040	0.051
10.06	1.930	0.371	0.041	0.052
10.08	1.917	0.347	0.042	0.056
10.10	1.933	0.336	0.056	0.056
10.12	1.942	0.276	0.068	0.037
10.14	1.908	0.236	0.060	0.019
10.16	1.885	0.216	0.045	0.015
10.18	1.863	0.198	0.042	0.017
10.20	1.840	0.186	0.039	0.015
10.22	1.825	0.180	0.037	0.013
10.24	1.813	0.168	0.036	0.011
10.26	1.798	0.160	0.033	0.011
10.28	1.785	0.152	0.029	0.011
10.30	1.773	0.144	0.028	0.011
10.32	1.759	0.137	0.027	0.011
10.34	1.748	0.133	0.027	0.011
10.36	1.735	0.127	0.023	0.011
10.38	1.727	0.124	0.023	0.008
10.40	1.712	0.118	0.021	0.008
10.42	1.705	0.121	0.022	0.006
10.44	1.697	0.112	0.020	0.009
10.46	1.685	0.112	0.018	0.006
10.48	1.673	0.108	0.016	0.006
10.50	1.664	0.116	0.016	0.006
10.52	1.662	0.110	0.016	0.009
10.54	1.648	0.112	0.015	0.006
10.56	1.646	0.114	0.014	0.007
10.58	1.637	0.113	0.012	0.007
10.60	1.631	0.115	0.011	0.009
10.62	1.625	0.118	0.013	0.006
10.64	1.623	0.121	0.012	0.007
10.66	1.620	0.121	0.011	0.007
10.68	1.615	0.121	0.009	0.007
10.70	1.611	0.123	0.008	0.009
10.72	1.605	0.123	0.011	0.009
10.74	1.601	0.130	0.010	0.007
10.76	1.603	0.131	0.010	0.007
10.78	1.598	0.132	0.009	0.007
10.80	1.595	0.136	0.008	0.009
10.82	1.594	0.142	0.009	0.011
10.84	1.597	0.145	0.007	0.011
10.86	1.597	0.148	0.008	0.011
10.88	1.600	0.151	0.006	0.011
10.90	1.603	0.155	0.007	0.012
10.92	1.610	0.157	0.009	0.012
10.94	1.616	0.154	0.010	0.011
10.96	1.620	0.153	0.008	0.011
10.98	1.629	0.151	0.009	0.011
11.00	1.633	0.140	0.008	0.012
11.02	1.634	0.137	0.010	0.007
11.04	1.638	0.128	0.009	0.011
11.06	1.636	0.122	0.008	0.011
11.08	1.635	0.115	0.007	0.011
11.10	1.633	0.112	0.007	0.007
11.12	1.636	0.105	0.007	0.007
11.14	1.632	0.098	0.007	0.007
11.16	1.630	0.092	0.006	0.007
11.18	1.626	0.087	0.008	0.007
11.20	1.622	0.081	0.006	0.007
11.22	1.616	0.080	0.006	0.004
11.24	1.616	0.076	0.008	0.004
11.26	1.611	0.072	0.007	0.004
11.28	1.607	0.068	0.007	0.004
11.30	1.600	0.068	0.007	0.006
11.32	1.600	0.068	0.005	0.004
11.34	1.597	0.065	0.005	0.004
11.36	1.594	0.062	0.004	0.004
11.38	1.590	0.062	0.004	0.004
11.40	1.590	0.059	0.004	0.004
11.42	1.583	0.056	0.005	0.004
11.44	1.582	0.059	0.005	0.001
11.46	1.582	0.056	0.005	0.001
11.48	1.578	0.053	0.005	0.001
11.50	1.575	0.053	0.006	0.004
11.52	1.575	0.051	0.004	0.004
11.54	1.571	0.048	0.004	0.004
11.56	1.568	0.045	0.003	0.004
11.58	1.561	0.046	0.003	0.004
11.60	1.561	0.048	0.005	0.001
11.62	1.561	0.046	0.003	0.001
11.64	1.559	0.044	0.004	0.001
11.66	1.557	0.042	0.004	0.001
11.68	1.553	0.039	0.006	0.001
11.70	1.549	0.040	0.006	0.004
11.72	1.549	0.038	0.005	0.004
11.74	1.542	0.036	0.006	0.004
11.76	1.540	0.039	0.005	0.002
11.78	1.540	0.038	0.004	0.002
11.80	1.538	0.036	0.003	0.002
11.82	1.535	0.035	0.003	0.002
11.84	1.533	0.034	0.004	0.002
11.86	1.530	0.033	0.004	0.002
11.88	1.528	0.031	0.005	0.002
11.90	1.522	0.030	0.005	0.002
11.92	1.519	0.032	0.007	0.001
11.94	1.517	0.033	0.007	0.004
11.96	1.516	0.032	0.006	0.004
11.98	1.513	0.031	0.006	0.004
12.00	1.510	0.031	0.005	0.004
12.02	1.508	0.030	0.005	0.004
12.04	1.503	0.029	0.004	0.004
12.06	1.500	0.032	0.004	0.004
12.08	1.499	0.031	0.006	0.004
12.10	1.495	0.031	0.006	0.004
12.12	1.493	0.030	0.008	0.004
12.14	1.488	0.030	0.008	0.004
12.16	1.485	0.030	0.010	0.004
12.18	1.480	0.032	0.010	0.004
12.20	1.478	0.033	0.010	0.004
12.22	1.473	0.033	0.010	0.004
12.24	1.469	0.035	0.011	0.004
12.26	1.463	0.037	0.011	0.004
12.28	1.460	0.041	0.013	0.004
12.30	1.454	0.043	0.014	0.006
12.32	1.450	0.050	0.014	0.002
12.34	1.447	0.054	0.012	0.004
12.36	1.442	0.062	0.012	0.004
12.38	1.442	0.071	0.014	0.004
12.40	1.443	0.076	0.014	0.006
12.42	1.441	0.086	0.012	0.006
12.44	1.449	0.096	0.012	0.006
12.46	1.455	0.098	0.013	0.008
12.48	1.459	0.101	0.013	0.009
12.50	1.461	0.107	0.010	0.009
12.52	1.474	0.113	0.008	0.007
12.54	1.482	0.106	0.010	0.008
12.56	1.485	0.106	0.010	0.006
12.58	1.491	0.101	0.006	0.009
12.60	1.491	0.099	0.011	0.009
12.62	1.497	0.098	0.007	0.005
12.64	1.499	0.091	0.007	0.007
12.66	1.496	0.087	0.008	0.006
12.68	1.495	0.086	0.010	0.006
12.70	1.493	0.085	0.010	0.006
12.72	1.492	0.086	0.011	0.006
12.74	1.492	0.087	0.011	0.006
12.76	1.493	0.088	0.012	0.006
12.78	1.494	0.089	0.013	0.006
12.80	1.496	0.090	0.014	0.006
12.82	1.499	0.090	0.011	0.006
12.84	1.502	0.089	0.011	0.006
12.86	1.505	0.087	0.011	0.006
12.88	1.507	0.085	0.011	0.006
12.90	1.510	0.082	0.011	0.006
12.92	1.510	0.078	0.012	0.006
12.94	1.511	0.077	0.011	0.005
12.96	1.514	0.072	0.011	0.005
12.98	1.511	0.067	0.010	0.005
13.00	1.510	0.066	0.011	0.005
13.02	1.509	0.062	0.011	0.005
13.04	1.506	0.061	0.012	0.004
13.06	1.507	0.058	0.011	0.004
13.08	1.502	0.055	0.012	0.004
13.10	1.499	0.056	0.011	0.002
13.12	1.497	0.056	0.012	0.005
13.14	1.497	0.058	0.012	0.004
13.16	1.498	0.056	0.012	0.004
13.18	1.497	0.055	0.012	0.004
