wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
6.14	1.245	0.033	0.002	0.010
6.16	1.244	0.037	0.002	0.008
6.18	1.239	0.038	0.001	0.006
6.20	1.233	0.039	0.004	0.005
6.22	1.222	0.040	0.005	0.004
6.24	1.212	0.046	0.007	0.003
6.26	1.201	0.050	0.009	0.004
6.28	1.188	0.055	0.010	0.004
6.30	1.165	0.065	0.014	0.005
6.32	1.154	0.093	0.015	0.010
6.34	1.154	0.104	0.014	0.011
6.36	1.135	0.117	0.017	0.012
6.38	1.121	0.147	0.018	0.016
6.40	1.119	0.182	0.016	0.021
6.42	1.128	0.211	0.013	0.024
6.44	1.135	0.236	0.011	0.026
6.46	1.148	0.262	0.008	0.026
6.48	1.165	0.283	0.006	0.026
6.50	1.182	0.300	0.005	0.026
6.52	1.202	0.316	0.004	0.026
6.54	1.221	0.322	0.003	0.026
6.56	1.232	0.334	0.003	0.026
6.58	1.253	0.344	0.003	0.026
6.60	1.265	0.348	0.003	0.026
6.62	1.282	0.360	0.004	0.026
6.64	1.296	0.362	0.005	0.026
6.66	1.307	0.376	0.006	0.026
6.68	1.334	0.388	0.008	0.026
6.70	1.358	0.385	0.010	0.026
6.72	1.375	0.385	0.010	0.026
6.74	1.396	0.378	0.013	0.025
6.76	1.396	0.373	0.011	0.022
6.78	1.411	0.392	0.012	0.026
6.80	1.440	0.394	0.016	0.026
6.82	1.470	0.390	0.020	0.026
6.84	1.486	0.367	0.023	0.018
6.86	1.487	0.372	0.018	0.018
6.88	1.519	0.374	0.023	0.020
6.90	1.540	0.356	0.025	0.015
6.92	1.553	0.344	0.024	0.014
6.94	1.570	0.339	0.024	0.012
6.96	1.602	0.322	0.025	0.011
6.98	1.616	0.284	0.026	0.007
7.00	1.611	0.258	0.022	0.006
7.02	1.606	0.241	0.021	0.005
7.04	1.599	0.233	0.019	0.004
7.06	1.606	0.232	0.018	0.005
7.08	1.620	0.217	0.020	0.005
7.10	1.624	0.197	0.019	0.004
7.12	1.624	0.178	0.019	0.002
7.14	1.619	0.161	0.018	0.002
7.16	1.612	0.146	0.017	0.001
7.18	1.604	0.138	0.017	0.001
7.20	1.601	0.130	0.016	0.001
7.22	1.595	0.123	0.015	0.001
7.24	1.595	0.118	0.015	0.001
7.26	1.596	0.107	0.016	0.001
7.28	1.591	0.094	0.015	0.001
7.30	1.582	0.085	0.014	0.001
7.32	1.576	0.078	0.014	0.002
7.34	1.565	0.073	0.012	0.001
7.36	1.560	0.076	0.013	0.001
7.38	1.563	0.071	0.014	0.001
7.40	1.558	0.062	0.013	0.001
7.42	1.553	0.058	0.013	0.002
7.44	1.549	0.052	0.012	0.002
7.46	1.541	0.047	0.012	0.002
7.48	1.535	0.046	0.011	0.002
7.50	1.531	0.044	0.011	0.001
7.52	1.526	0.043	0.011	0.001
7.54	1.524	0.042	0.012	0.001
7.56	1.523	0.040	0.011	0.002
7.58	1.522	0.033	0.010	0.001
7.60	1.515	0.027	0.011	0.002
