wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
6.14	1.310	0.017	0.031	0.017
6.16	1.306	0.018	0.031	0.014
6.18	1.302	0.019	0.032	0.012
6.20	1.298	0.020	0.035	0.010
6.22	1.293	0.021	0.037	0.009
6.24	1.287	0.023	0.040	0.008
6.26	1.281	0.025	0.043	0.008
6.28	1.274	0.028	0.046	0.009
6.30	1.263	0.033	0.050	0.010
6.32	1.258	0.044	0.052	0.014
6.34	1.256	0.047	0.052	0.015
6.36	1.245	0.052	0.056	0.016
6.38	1.237	0.065	0.058	0.020
6.40	1.234	0.077	0.059	0.024
6.42	1.231	0.088	0.059	0.027
6.44	1.228	0.100	0.060	0.030
6.46	1.225	0.114	0.061	0.034
6.48	1.229	0.131	0.059	0.039
6.50	1.233	0.142	0.057	0.042
6.52	1.240	0.155	0.055	0.045
6.54	1.246	0.159	0.052	0.045
6.56	1.245	0.171	0.052	0.047
6.58	1.254	0.181	0.049	0.049
6.60	1.255	0.189	0.049	0.050
6.62	1.263	0.203	0.046	0.053
6.64	1.270	0.209	0.044	0.053
6.66	1.274	0.221	0.043	0.055
6.68	1.287	0.234	0.040	0.057
6.70	1.302	0.238	0.037	0.057
6.72	1.310	0.241	0.035	0.057
6.74	1.318	0.244	0.033	0.056
6.76	1.320	0.251	0.034	0.057
6.78	1.330	0.266	0.032	0.060
6.80	1.348	0.277	0.028	0.062
6.82	1.373	0.277	0.022	0.062
6.84	1.378	0.266	0.022	0.058
6.86	1.381	0.281	0.022	0.062
6.88	1.407	0.287	0.016	0.063
6.90	1.423	0.280	0.013	0.061
6.92	1.434	0.279	0.011	0.060
6.94	1.448	0.284	0.009	0.062
6.96	1.478	0.282	0.004	0.061
6.98	1.497	0.259	0.005	0.055
7.00	1.501	0.245	0.004	0.051
7.02	1.507	0.234	0.004	0.049
7.04	1.508	0.229	0.004	0.048
7.06	1.523	0.230	0.007	0.049
7.08	1.540	0.215	0.010	0.045
7.10	1.547	0.199	0.011	0.042
7.12	1.555	0.183	0.013	0.038
7.14	1.557	0.166	0.012	0.034
7.16	1.557	0.151	0.012	0.030
7.18	1.553	0.137	0.010	0.027
7.20	1.549	0.128	0.009	0.025
7.22	1.546	0.120	0.008	0.024
7.24	1.546	0.113	0.008	0.023
7.26	1.546	0.103	0.008	0.021
7.28	1.543	0.091	0.007	0.018
7.30	1.536	0.082	0.006	0.016
7.32	1.529	0.076	0.005	0.015
7.34	1.523	0.071	0.004	0.014
7.36	1.517	0.070	0.003	0.014
7.38	1.517	0.068	0.003	0.014
7.40	1.515	0.061	0.003	0.013
7.42	1.509	0.058	0.004	0.012
7.44	1.508	0.054	0.004	0.012
7.46	1.502	0.049	0.005	0.010
7.48	1.498	0.048	0.006	0.010
7.50	1.495	0.046	0.006	0.010
7.52	1.492	0.044	0.007	0.010
7.54	1.489	0.042	0.007	0.010
7.56	1.488	0.041	0.007	0.009
7.58	1.487	0.037	0.008	0.008
7.60	1.483	0.032	0.009	0.007
7.62	1.478	0.031	0.010	0.007
7.64	1.477	0.030	0.010	0.007
7.66	1.473	0.027	0.011	0.007
7.68	1.471	0.026	0.011	0.006
7.70	1.468	0.023	0.012	0.005
7.72	1.465	0.021	0.012	0.005
7.74	1.461	0.019	0.013	0.005
7.76	1.458	0.018	0.014	0.004
7.78	1.454	0.017	0.015	0.004
7.80	1.452	0.016	0.015	0.004
7.82	1.448	0.014	0.016	0.004
7.84	1.445	0.014	0.017	0.004
7.86	1.442	0.012	0.018	0.003
7.88	1.438	0.012	0.019	0.003
7.90	1.436	0.011	0.019	0.003
7.92	1.432	0.010	0.020	0.003
7.94	1.428	0.010	0.020	0.003
7.96	1.425	0.010	0.021	0.003
