wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
6.14	1.413	0.021	0.008	0.003
6.16	1.412	0.020	0.008	0.003
6.18	1.411	0.021	0.008	0.003
6.20	1.412	0.020	0.008	0.003
6.22	1.410	0.019	0.008	0.003
6.24	1.409	0.019	0.008	0.002
6.26	1.408	0.018	0.009	0.002
6.28	1.406	0.018	0.009	0.003
6.30	1.404	0.018	0.009	0.003
6.32	1.402	0.019	0.009	0.003
6.34	1.401	0.019	0.009	0.003
6.36	1.397	0.020	0.010	0.003
6.38	1.397	0.023	0.010	0.003
6.40	1.396	0.023	0.010	0.003
6.42	1.393	0.025	0.010	0.003
6.44	1.392	0.027	0.011	0.004
6.46	1.390	0.029	0.011	0.004
6.48	1.389	0.032	0.011	0.004
6.50	1.388	0.035	0.011	0.005
6.52	1.388	0.041	0.011	0.006
6.54	1.392	0.044	0.010	0.007
6.56	1.394	0.045	0.010	0.006
6.58	1.396	0.045	0.009	0.006
6.60	1.395	0.046	0.010	0.006
6.62	1.397	0.050	0.009	0.007
6.64	1.400	0.050	0.009	0.007
6.66	1.401	0.051	0.008	0.007
6.68	1.403	0.053	0.008	0.007
6.70	1.408	0.053	0.007	0.007
6.72	1.410	0.050	0.007	0.006
6.74	1.410	0.049	0.007	0.006
6.76	1.410	0.048	0.007	0.006
6.78	1.410	0.049	0.008	0.006
6.80	1.412	0.050	0.007	0.006
6.82	1.414	0.049	0.007	0.006
6.84	1.415	0.047	0.007	0.006
6.86	1.414	0.047	0.007	0.006
6.88	1.416	0.047	0.007	0.005
6.90	1.417	0.045	0.007	0.005
6.92	1.416	0.045	0.007	0.006
6.94	1.418	0.045	0.007	0.006
6.96	1.419	0.044	0.007	0.006
6.98	1.421	0.042	0.006	0.005
7.00	1.419	0.039	0.007	0.005
7.02	1.419	0.039	0.007	0.005
7.04	1.418	0.038	0.007	0.005
7.06	1.418	0.039	0.007	0.005
7.08	1.419	0.038	0.007	0.005
7.10	1.419	0.037	0.007	0.005
7.12	1.420	0.036	0.006	0.005
7.14	1.420	0.034	0.006	0.005
7.16	1.420	0.032	0.006	0.005
7.18	1.419	0.031	0.006	0.005
7.20	1.418	0.030	0.006	0.005
7.22	1.417	0.030	0.006	0.005
7.24	1.417	0.029	0.006	0.005
7.26	1.417	0.028	0.006	0.005
7.28	1.417	0.026	0.006	0.004
7.30	1.416	0.025	0.006	0.004
7.32	1.415	0.023	0.006	0.004
7.34	1.412	0.022	0.007	0.003
7.36	1.411	0.023	0.007	0.004
7.38	1.411	0.023	0.007	0.004
7.40	1.411	0.022	0.007	0.004
7.42	1.411	0.021	0.006	0.004
7.44	1.410	0.019	0.007	0.003
7.46	1.408	0.018	0.007	0.003
7.48	1.406	0.018	0.007	0.003
7.50	1.405	0.019	0.007	0.003
7.52	1.405	0.018	0.007	0.003
7.54	1.404	0.018	0.007	0.003
7.56	1.405	0.018	0.006	0.003
